Carrer Santa Maria;Santa Maria;;1.0;Female
Carrer Sant Enric;Sant Enric;;-0.5;Male
Plaça Sant Ramon;Sant Ramon;;-0.5;Male
Carrer de Jaume Mimó i Llobet;Jaume Mimó i Llobet;;-0.5;Male
Carrer de Josep Panne;Josep Panne;;-0.5;Male
Carrer de Santa Engràcia;Santa Engràcia;;0.76;Female
Carrer de Sant Jeroni;Sant Jeroni;;-0.5;Male
Passatge d'Àngel Guimerà;Àngel Guimerà;;-1.0;Male
Plaça La Salut;La Salut;;0.65;Female
Carrer de la Providència;Providència;;1.0;Female
Carrer d'Àngel Guimerà;Àngel Guimerà;;-1.0;Male
Carrer d'Àngel Guirmerà;Àngel Guirmerà;;-1.0;Male
Carrer de l'Alzina;Alzina;;1.0;Female
Carrer de Josep LLimona;Josep LLimona;;-0.5;Male
Carrer de Santa Marcel·lina;Santa Marcel·lina;;0.76;Female
Carrer de La Mare de Déu del Pilar;La Mare de Déu Pilar;;0.66;Female
Carrer de Lluís Companys;Lluís Companys;;-0.5;Male
Carrer de Francesc Layret;Francesc Layret;;-0.5;Male
Carrer Ave Maria;Ave Maria;;1.0;Female
Avinguda de Sant Iscle;Sant Iscle;;-0.5;Male
Carrer de la Misericòrdia;Misericòrdia;;1.0;Female
Plaça Marconi;Marconi;;-0.5;Male
Carrer de les Vinyes;Vinyes;;-0.5;Male
Carrer de Sant Magí;Sant Magí;;-0.5;Male
Carrer de Santiago;Santiago;;-1.0;Male
Carrer Jardí;Jardí;;-0.5;Male
Carrer de Jaume Mimó i Llovet;Jaume Mimó i Llovet;;-0.5;Male
Carrer de la Mare de Déu de les Feixes;Mare Déu Feixes;;0.6;Female
Carrer de Sant Eduard;Sant Eduard;;-1.0;Male
Carrer de Sant Isidre;Sant Isidre;;-0.5;Male
Carrer de Mossèn Cinto Verdaguer;Mossèn Cinto Verdaguer;;-0.5;Male
Carrer de Santa Margarida;Santa Margarida;;0.77;Female
Passatge Olivé;Olivé;;1.0;Female
Carrer de Sant Gregori;Sant Gregori;;-0.5;Male
Carrer de Jaume I;Jaume I;;-0.5;Male
Carrer de València;València;;1.0;Female
Carrer de la Ginesta;Ginesta;;1.0;Female
Carrer de Giralt;Giralt;;-1.0;Male
Carrer de Cervantes;Cervantes;;-0.5;Male
Passatge de l'Orient;Orient;;-1.0;Male
Carrer d'Orient;Orient;;-1.0;Male
Carrer Reis;Reis;;0.5;Female
Carrer de González;González;;-0.5;Male
Carrer de Santa Teresa;Santa Teresa;;1.0;Female
Carrer dels Reis;Reis;;0.5;Female
Plaça del Doctor Moragas;Doctor Moragas;;-0.99;Male
Carrer de Goya;Goya;;1.0;Female
Plaça de Carles Buigas;Carles Buigas;;-1.0;Male
Carrer de la Pineda;Pineda;;1.0;Female
Passatge de Goya;Goya;;1.0;Female
Passeig d'Horta;Horta;;1.0;Female
Carrer de Sant Agustí;Sant Agustí;;-0.5;Male
Carrer de la Vía;Vía;;0.89;Female
Carrer Salvador Espriu;Salvador Espriu;;-0.5;Male
Carrer de Pavia;Pavia;;1.0;Female
Carrer del Greco;Greco;;-1.0;Male
Carrer del pintor Pablo Picasso;pintor Pablo Picasso;;-1.0;Male
Carrer del pintor Soler Jordá;pintor Soler Jordá;;-1.0;Male
Carrer de Joan Miró;Joan Miró;;0.65;Female
Carrer de Pineda;Pineda;;1.0;Female
carrer de Ramon Casas;Ramon Casas;;-0.5;Male
Carrer de Felip II;Felip II;;-0.99;Male
Avinguda del Turó;Turó;;-0.5;Male
Carrer de Numància;Numància;;1.0;Female
Avinguda de Ferran VII;Ferran VII;;-1.0;Male
Carrer del Roure;Roure;;-0.5;Male
Rambla de les Vinyes;Vinyes;;-0.5;Male
Carrer de l'Era;Era;;0.94;Female
Plaça Lluís Millet;Lluís Millet;;-0.5;Male
Avinguda Maria Torras;Maria Torras;;0.99;Female
Passatge Sant Salvador;Sant Salvador;;-0.5;Male
Plaça Maria Aurèlia Capmany;Maria Aurèlia Capmany;;0.99;Female
Carrer de Jacint Verdaguer;Jacint Verdaguer;;-0.5;Male
Carrer de Palau Ausit;Palau Ausit;;-0.5;Male
Carrer de Federico García Lorca;Federico García Lorca;;-0.5;Male
Carrer Doctor Bergós;Doctor Bergós;;-0.5;Male
Carrer Rafael Alberti;Rafael Alberti;;-0.5;Male
Cami de la Serra de la Salut;Cami  Serra Salut;;0.97;Female
Carrer del Padró;Padró;;-0.5;Male
Rambla de Sant Andreu;Sant Andreu;;-0.5;Male
Carrer Ferran el Catòlic;Ferran el Catòlic;;-0.99;Male
Carrer de la Salut;Salut;;1.0;Female
Carrer del Doctor Figuerola;Doctor Figuerola;;-0.5;Male
Carrer General Prim;General Prim;;-0.5;Male
Carrer de la Palma;Palma;;1.0;Female
Rambla de Sant Esteve;Sant Esteve;;-0.5;Male
Carrer Nou;Nou;;0.58;Female
Carrer de l'Estrella;Estrella;;1.0;Female
Plaça Onze de Setembre;Onze Setembre;;-1.0;Male
Sant Enric;Enric;;-1.0;Male
Passatge del Cot;Cot;;-0.5;Male
Carrer del Cot;Cot;;-0.5;Male
Passatge de Sant Carles;Sant Carles;;-0.5;Male
Carrer de Pau Casals;Pau Casals;;-0.5;Male
Carrer del Doctor Bergós;Doctor Bergós;;-0.5;Male
Rambla de Sant Jordi;Sant Jordi;;-0.5;Male
Carrer de Josep Viure;Josep Viure;;-0.5;Male
Carrer Balmes;Balmes;;-0.5;Male
Carrer de Rizal;Rizal;;-0.5;Male
Carrer de Ramon Llull;Ramon Llull;;-0.5;Male
Carrer del Doctor Zamenhof;Doctor Zamenhof;;-0.5;Male
Carrer del Riu;Riu;;-0.5;Male
Carrer de Covadonga;Covadonga;;1.0;Female
Carrer de Sant Jaume;Sant Jaume;;-0.5;Male
Carrer de Milá;Milá;;1.0;Female
Carrer de la Mercè;Mercè;;1.0;Female
Carrer Font de Can Mas;Font Can Mas;;-0.97;Male
Carrer de Sant Pol;Sant Pol;;-0.5;Male
Carrer de la Granja;Granja;;-0.5;Male
Carrer d'Isaac Albéniz;Isaac Albéniz;;-1.0;Male
Plaça Terra Nostra;Terra Nostra;;1.0;Female
avinguda del Riu Ripoll;Riu Ripoll;;-0.5;Male
Carrer d'Isabel II;Isabel II;;0.99;Female
Carrer Serra de na Joana;Serra na Joana;;0.98;Female
carrer de Foix;Foix;;0.5;Female
carrer de Sant Jeroni;Sant Jeroni;;-0.5;Male
carrer de la Molina;Molina;;0.99;Female
carrer del Ter;Ter;;-0.5;Male
carrer de la Ginesta;Ginesta;;1.0;Female
carrer del Bruc;Bruc;;-0.5;Male
carrer de Pere Quart;Pere Quart;;-1.0;Male
carrer del Gas;Gas;;-0.5;Male
carrer de Núria;Núria;;1.0;Female
carrer de la Farga;Farga;;-0.5;Male
Carrer de Montserrat;Montserrat;;1.0;Female
Avinguda de Terra Nostra;Terra Nostra;;1.0;Female
carrer de Santa Maria;Santa Maria;;1.0;Female
Carrer del Montsant;Montsant;;1.0;Female
avinguda de Carles Rabassó;Carles Rabassó;;-1.0;Male
carrer de Sant Medir;Sant Medir;;-0.5;Male
carrer del Romaní;Romaní;;0.63;Female
passatge del Roure;Roure;;-0.5;Male
carrer del Fluvià;Fluvià;;0.5;Female
carrer de la Roca Plana;Roca Plana;;0.72;Female
Carrer de la Rosa;Rosa;;1.0;Female
carrer d'Antoni Pujades;Antoni Pujades;;-0.5;Male
carrer de la Dàlia;Dàlia;;1.0;Female
carrer del Camí de Sant Iscle;carrer  Sant Iscle;;-1.0;Male
Carrer Xaloc;Xaloc;;-1.0;Male
Carrer de Joanot Martorell;Joanot Martorell;;-0.5;Male
Carrer d'Amadeu Vives;Amadeu Vives;;-0.5;Male
Carrer de Salvador Dalí;Salvador Dalí;;-0.5;Male
carrer Pablo Picasso;Pablo Picasso;;-1.0;Male
Carrer Joan Miró;Joan Miró;;0.65;Female
Passeig de Sant Jordi;Sant Jordi;;-0.5;Male
Camí Antic de Sant Cugat;Antic Sant Cugat;;-0.5;Male
Carrer de Granados;Granados;;-0.5;Male
Carrer del Consell de Cent;Consell Cent;;0.5;Female
Carrer de Wagner;Wagner;;-0.5;Male
carrer Mozart;Mozart;;-0.5;Male
Carrer Verdi;Verdi;;0.72;Female
Carrer de Frederic Mompou;Frederic Mompou;;-0.5;Male
Carrer de Victoria dels Angels;Victoria Angels;;0.68;Female
Maria Fortuny;Maria Fortuny;;0.99;Female
carrer Ramon i Cajal;Ramon i Cajal;;-0.5;Male
carrer Sant Ignasi;Sant Ignasi;;-0.5;Male
carrer Alt de Sant Pere;Alt Sant Pere;;-0.5;Male
carrer de Sant Ignasi;Sant Ignasi;;-0.5;Male
Carrer Gaiá;Gaiá;;1.0;Female
Carrer Aragó;Aragó;;0.71;Female
Carrer baix de Sant Pere;baix Sant Pere;;-0.5;Male
carrer de Aragón;Aragón;;-0.5;Male
carrer Carrerada;carrer ada;;0.96;Female
Passatge Compte Borrel;Compte Borrel;;-1.0;Male
Passatge del Compte de Borrel;Compte Borrel;;-1.0;Male
carrer Serra d´Dor;Serra d´Dor;;0.98;Female
Carrer Santa Fé;Santa Fé;;1.0;Female
Passatge Santa Fé;Santa Fé;;1.0;Female
Carrer Valéncia;Valéncia;;1.0;Female
Carrer Eivissa;Eivissa;;1.0;Female
Carrer del Mig;Mig;;-0.78;Male
Passeig del Pintor Bert;Pintor Bert;;-0.97;Male
Carrer de Frederica Montseny;Frederica Montseny;;1.0;Female
Carrer Camí de la Font Freda;Carrer  Font Freda;;1.0;Female
Carrer Castelló;Castelló;;-0.5;Male
Carrer Barcelona;Barcelona;;-0.5;Male
Carrer Enric Morera;Enric Morera;;-0.5;Male
Carrer de Vivaldi;Vivaldi;;-0.5;Male
Passeig de la Font Pudenta;Font Pudenta;;-0.5;Male
avinguda de la Riera de Sant Cugat;Riera Sant Cugat;;-0.5;Male
Carrer de Maria de Bearn;Maria de Bearn;;0.99;Female
Carrer del Pilar;Pilar;;1.0;Female
carrer Santo Tomás;Santo Tomás;;-0.5;Male
carrer de Carrerada;carrer ada;;0.96;Female
Rambla dels Paissos Catalans;Paissos Catalans;;-0.5;Male
rambla dels Països Catalans;ramb Països Catalans;;-0.5;Male
Carrer Francesc Layret;Francesc Layret;;-0.5;Male
Avinguda Mossen Joaquim Catellví;Mossen Joaquim Catellví;;-0.5;Male
Carrer de Pere de Montcada;Pere de Montcada;;-0.5;Male
Passatge de la Música;Música;;-0.5;Male
carrer de Guillem Montcada;Guillem Montcada;;-0.5;Male
Carrer d'Elisenda de Montcada;Elisenda Montcada;;1.0;Female
Baixada de Sta. Engracía;Sta. Engracía;;1.0;Female
carrer Ripoll;Ripoll;;-0.5;Male
carrer Turó Fermín;Turó Fermín;;-0.5;Male
Mina;Mina;;0.99;Female
carrer de Barberà;Barberà;;0.98;Female
Carrer Major;Major;;-0.5;Male
Carrer Nord;Nord;;-0.5;Male
Carrer Vic;Vic;;-0.97;Male
Camí de la Font Freda;Font Freda;;1.0;Female
Carrer Turó Fermín;Turó Fermín;;-0.5;Male
Carrer de Domingo Fins;Domingo Fins;;-1.0;Male
carrer Sant Antoni;Sant Antoni;;-0.5;Male
Carrer de Barcelona;Barcelona;;-0.5;Male
Acceso Carrer Barcelona;Acceso  Barcelona;;-0.5;Male
Carrer de Dr. Buxó;Dr. Buxó;;-0.5;Male
Carrer de Santiago Rusiñol;Santiago Rusiñol;;-1.0;Male
Ptge. Jacint Verdaguer;Jacint Verdaguer;;-0.5;Male
Cami de la Font del Tort;Cami  Font Tort;;0.97;Female
Carrer Juli García;Juli García;;0.82;Female
carrer Pascual;Pascual;;-0.5;Male
Plaça de Lluís Companys;Lluís Companys;;-0.5;Male
carrer de Jaume I;Jaume I;;-0.5;Male
Carrer de Sant Lluis;Sant Lluis;;-0.5;Male
carrer del Clavell;Clavell;;1.0;Female
Carrer de Vilanova;Vilanova;;1.0;Female
Carrer Joanot Martorell;Joanot Martorell;;-0.5;Male
carrer de Ramon Llull;Ramon Llull;;-0.5;Male
