Osa Menor;Osa Menor;;0.84;Female
Cruz del Sur;Cruz del Sur;;-0.59;Male
Prolongación Emiliano Zapata;Prolongación Emiliano Zapata;;-0.5;Male
Jorge Enciso;Jorge Enciso;;-1.0;Male
Cjon. Mexicaltzingo;Cjon. Mexicaltzingo;;-0.5;Male
Cjon. Artesanos;Cjon. Artesanos;;-0.5;Male
Leo;Leo;;-0.99;Male
Tauro;Tauro;;-0.5;Male
Callejón Agricultores;jón Agricultores;;-1.0;Male
Avena;ena;;1.0;Female
Sagu;Sagu;;-0.5;Male
Francisco I. Madera;Francisco I. Madera;;-0.5;Male
Pascual Orozco;Pascual Orozco;;-0.5;Male
Gral. Julio Garcia;Julio Garcia;;-0.5;Male
Cda. Jesús;. Jesús;;-0.5;Male
Vicente Guerrero;Vicente Guerrero;;-1.0;Male
Cda. Pascual;. Pascual;;-0.5;Male
San Isidro;San Isidro;;-0.5;Male
Felipe Angeles;Felipe Angeles;;-0.85;Male
Sobre las Olas;Sobre las Olas;;-0.56;Male
Avenida Canal deTezontle;Canal deTezontle;;-0.5;Male
Raymundo Montaya;Raymundo Montaya;;-0.5;Male
Cornelio Roman M.;Cornelio Roman M.;;-0.99;Male
Francisco I. Madero;Francisco I. Madero;;-0.5;Male
Miguel Garcia;Miguel Garcia;;-1.0;Male
Miguel Garcia M.;Miguel Garcia M.;;-1.0;Male
Marea;Marea;;1.0;Female
Av. Canal de Tezontle;Canal Tezontle;;-0.5;Male
Isla Plaza Peninsula;Plaza Peninsula;;-0.5;Male
Ruben Jaramillo;Ruben Jaramillo;;-1.0;Male
Veredas;Veredas;;1.0;Female
Marina;Marina;;1.0;Female
Peñon;Peñon;;1.0;Female
Cjon. Dibujantes;Cjon. Dibujantes;;-0.5;Male
Santa María Purísima;Santa María Purísima;;0.81;Female
Tláloc;Tláloc;;-0.5;Male
Zaragoza;Zaragoza;;0.74;Female
Niños Héroes;Niños Héroes;;-0.5;Male
Santa Maria;Santa Maria;;0.74;Female
Paseo de la Tierra;Tierra;;0.99;Female
Plaza Tetela;Plaza Tetela;;-0.5;Male
Siete Cuevas;Siete Cuevas;;-0.95;Male
Piedra Verde;Piedra Verde;;1.0;Female
San Agustin;San Agustin;;-0.5;Male
Francisco Villa;Francisco;;-0.5;Male
Peyote;Peyote;;-0.5;Male
Oasis;Oasis;;0.88;Female
A. Carrel;Carrel;;-0.94;Male
A. Fleming;Fleming;;-0.5;Male
Simpson;Simpson;;-0.5;Male
Robert Koch;Robert Koch;;-0.99;Male
Tunas;Tunas;;-1.0;Male
Agave;Agave;;1.0;Female
Agua;Agua;;1.0;Female
Rosita;Rosita;;1.0;Female
Lirios;Lirios;;1.0;Female
Viento Azul;Viento Azul;;0.98;Female
Sonora;Sonora;;0.99;Female
Veracruz;Veracruz;;1.0;Female
Nayarit;Nayarit;;1.0;Female
Cda. Veracruz;. Veracruz;;1.0;Female
Cjon. Tijuana;Cjon. Tijuana;;0.99;Female
Canal Rio Chrubusco;Canal Rio Chrubusco;;-0.57;Male
Cjon. Zaragoza;Cjon. Zaragoza;;0.72;Female
Cjon Cuauhtémoc;Cjon Cuauhtémoc;;-1.0;Male
Cjon. Cuautémoc;Cjon. Cuautémoc;;-1.0;Male
Alfonso Toro;Alfonso Toro;;-1.0;Male
Agustin Yañez;Agustin Yañez;;-1.0;Male
Rodolfo Usigli;Rodolfo Usigli;;-0.5;Male
Gral. A. Cardenas Rodiguez;Gral.  Cardenas Rodiguez;;-0.5;Male
Pablo L. Rivas Martinez;Pablo L. Rivas Martinez;;-1.0;Male
Tte. Héctor Espinosa Galván;Tte. Héctor Espinosa Galván;;-1.0;Male
Tte. Fausto Vega Santander;Tte. Fausto Vega Santander;;-0.88;Male
Tte. Roberto Gómez Moreno;Tte. Roberto Gómez Moreno;;-0.99;Male
Tte. Javier Martinez Valle;Tte. Javier Martinez;;-1.0;Male
Subtte. Hugo O. Gonalez;Subtte. Hugo O. Gonalez;;-0.5;Male
Av. México;México;;-0.5;Male
Priv. Reynosa;Priv. Reynosa;;1.0;Female
Morelia;Morelia;;1.0;Female
John F. Kennedy;John F. Kennedy;;-0.99;Male
Rio Churubusco;Rio Churubusco;;-0.56;Male
Los Reyes;Los Reyes;;-0.5;Male
Cjon. Victoria;Cjon. Victoria;;1.0;Female
Ignacio Comonfort;Ignacio Comonfort;;-1.0;Male
Porfirio Diaz;Porfirio Diaz;;-0.99;Male
Privada Ermita Iztapalapa;Privada Ermita Iztapalapa;;1.0;Female
Avenida Canal de Miramontes;Canal Miramontes;;-0.5;Male
Cerro Libertad;Cerro Libertad;;1.0;Female
Cerro Juvencia;Cerro Juvencia;;1.0;Female
Cerro San Francisco;Cerro San Francisco;;-0.95;Male
Cerro del Creston;Cerro del Creston;;-0.78;Male
Cerro de San Andres;Cerro de San Andres;;-0.66;Male
Cerro de Santa Isabel;Cerro de Santa Isabel;;0.63;Female
Cerro de San Antonio;Cerro de San Antonio;;-0.88;Male
Cerro San Antonio;Cerro San Antonio;;-0.96;Male
Alvaro Gálvez y Fuentes;Alvaro Gálvez y Fuentes;;-0.5;Male
Refinería Madero;Refinería Madero;;1.0;Female
Ricardo Monges López;Ricardo Monges López;;-1.0;Male
Depósito Industrial Reynosa;Depósito Industrial Reynosa;;1.0;Female
Depósito Industrial Poza Rica;Depósito Industrial Poza Rica;;0.94;Female
Campo Samaria;Campo Samaria;;0.98;Female
Calle LL;LL;;-0.5;Male
Avenida Seis;Seis;;-0.5;Male
Marcos Pulido;Marcos Pulido;;-0.5;Male
Avenida Tres;Tres;;-0.96;Male
Paseo de la luz;luz;;0.95;Female
Segundo Paseo del Chico;Segundo  Chico;;-0.5;Male
Av. Paseo Parque del Rio;Av.  Parque Rio;;-0.56;Male
Avenida Rio Churubusco;Rio Churubusco;;-0.56;Male
Paseo de los Granados;Granados;;-0.5;Male
Paseo de las Magnolias;Magnolias;;1.0;Female
Paseo Nuevo;Nuevo;;-1.0;Male
Cerro de Jesus;Cerro de Jesus;;-0.95;Male
Ejido Santa Isabel Tola;Ejido Santa Isabel Tola;;0.94;Female
Rinconada Tules;Tules;;0.5;Female
Santa Ana;Santa Ana;;1.0;Female
Santa María Ticoman;Santa María Ticoman;;0.81;Female
Ejido Magdalena;Ejido Magdalena;;1.0;Female
Ejido Santa Anita;Ejido Santa Anita;;0.93;Female
Ejido Santa Bárbara;Ejido Santa Bárbara;;0.77;Female
Ejido Santa Úrsula;Ejido Santa Úrsula;;0.76;Female
Ejido La Candelaria;Ejido La Candelaria;;0.8;Female
Ejido Santa Catarina;Ejido Santa Catarina;;0.77;Female
Cerrada Miguel Hidalgo;Miguel Hidalgo;;-1.0;Male
Miguel Hidalgo;Miguel Hidalgo;;-1.0;Male
Santa Anita;Santa Anita;;1.0;Female
Quinta;Quinta;;0.88;Female
Octava;Octava;;1.0;Female
Sexta;Sexta;;0.88;Female
Pedro Arvizu;Pedro Arvizu;;-1.0;Male
Del Parque;Del;;-0.77;Male
Cuauhtémoc;Cuauhtémoc;;-1.0;Male
Hector Fierro;Hector Fierro;;-0.5;Male
Vega;Vega;;0.99;Female
Piedra del Sol;Piedra del Sol;;-0.71;Male
Antonio Arias B.;Antonio Arias B.;;-0.5;Male
Andrés A.;Andrés;;-0.5;Male
Castor;Castor;;-1.0;Male
Diego Navariva;Diego Navariva;;-1.0;Male
Polen;Polen;;1.0;Female
Aldebarán;Aldebarán;;-0.5;Male
Estrella Binaria;Estrella Binaria;;1.0;Female
Estrella Cefeida;Estrella Cefeida;;1.0;Female
Altar;Altar;;-0.5;Male
Pedro Sainz de Baranda;Pedro Sainz de Baranda;;-0.5;Male
Mar de la Tranquilidad;Mar de la Tranquilidad;;0.96;Female
Estrella Errante;Estrella Errante;;1.0;Female
Argos;Argos;;-0.5;Male
Paseo Margarita;Margarita;;1.0;Female
Paseo de los Robles;Robles;;-0.5;Male
Mar de los Vapores;Mar de los Vapores;;0.96;Female
Mar de Herodoto;Mar de Herodoto;;0.96;Female
Mar de las Nubes;Mar de las Nubes;;0.96;Female
Mar de las Tempestades;Mar de las Tempestades;;0.96;Female
Mar Embrión;Mar Embrión;;0.97;Female
Mar de los Néctares;Mar de los Néctares;;0.96;Female
Mar Oriental;Mar Oriental;;0.97;Female
Mar de las Crisis;Mar de las Crisis;;0.96;Female
Mar de la Serenidad;Mar de la Serenidad;;0.96;Female
Mar del Rocío;Mar del Rocío;;0.95;Female
Mar de Copérnico;Mar de Copérnico;;0.96;Female
Parque del Marqués;Marqués;;-0.5;Male
Ejido Xoco;Ejido Xoco;;0.5;Female
Ejido San Antonio;Ejido San Antonio;;-0.96;Male
Emiliano Morales;Emiliano Morales;;-0.5;Male
Marcos Rodríguez;Marcos Rodríguez;;-0.5;Male
Albino Terreros;Albino Terreros;;-0.5;Male
Miguel Olivares;Miguel Olivares;;-1.0;Male
Benigno Juárez;Benigno Juárez;;-0.5;Male
Daniel Valgañón;Daniel Valgañón;;-0.5;Male
Santiago Valverde;Santiago Valverde;;-1.0;Male
León García;León García;;-0.5;Male
Luis De La Rosa;Luis De La Rosa;;-0.5;Male
Marino Mozco;Marino Mozco;;-0.5;Male
Rómulo Valdez Romero;Rómulo Valdez Romero;;-1.0;Male
Agustín Romero Ibáñez;Agustín Romero Ibáñez;;-1.0;Male
Mauricio Rueda;Mauricio Rueda;;-0.5;Male
Manuel Orozco;Manuel Orozco;;-0.5;Male
Ejido San Pedro Martir;Ejido San Pedro Martir;;-0.9;Male
Pedro Díaz;Pedro Díaz;;-1.0;Male
Margarito Salamanca;Margarito Salamanca;;-0.5;Male
Flavio García;Flavio García;;-0.5;Male
Graciano Sánchez;Graciano Sánchez;;-0.5;Male
Alfredo V. Bonfil;Alfredo V. Bonfil;;-0.99;Male
Manuela Sáenz;Manuela Sáenz;;1.0;Female
Aurelio Manrique;Aurelio Manrique;;-1.0;Male
Manuel Lozada;Manuel Lozada;;-0.5;Male
Isidoro Olvera;Isidoro Olvera;;-0.5;Male
Francisco Islas;Francisco s;;-0.5;Male
Avelino Ortega Alvarado;elino Ortega Alvarado;;-0.5;Male
Álvaro Reséndiz;Álvaro Reséndiz;;-0.5;Male
Manuela Cañizares;Manuela Cañizares;;1.0;Female
Julio López Chávez;Julio López Chávez;;-0.5;Male
Rosa María Sequeira;Rosa María Sequeira;;0.99;Female
Paula Peraldo;Paula Peraldo;;1.0;Female
Ponciano Quiroz Herrera;Ponciano Quiroz Herrera;;-0.5;Male
Benito Fernandez Arrieta;Benito Fernandez Arrieta;;-0.5;Male
Jorge Ruiz Reyes;Jorge Ruiz Reyes;;-1.0;Male
Gustavo Salazar Bejarano;Gustavo Salazar Bejarano;;-0.5;Male
Daniel Hernandez;Daniel Hernandez;;-0.5;Male
Miguel A. Preciat;Miguel  Preciat;;-1.0;Male
Ramón Arriaga Aceves;Ramón Arriaga Aceves;;-0.5;Male
Calzada de la Salud;Salud;;1.0;Female
Virgilio Uribe;Virgilio Uribe;;-1.0;Male
Avenida de las Dalias;Dalias;;-1.0;Male
Parque de la Marquesa;Marquesa;;0.98;Female
Dalias;Dalias;;-1.0;Male
Iris;Iris;;0.99;Female
Nardos;Nardos;;0.99;Female
Maiz;Maiz;;-0.5;Male
Trigo;Trigo;;-1.0;Male
San Antonio;San Antonio;;-0.5;Male
San Joaquín;San Joaquín;;-0.5;Male
Silos;Silos;;-1.0;Male
La Manzana;La Manzana;;0.65;Female
Victoria;Victoria;;1.0;Female
Domingo González;Domingo González;;-1.0;Male
San Francisco;San Francisco;;-0.5;Male
Primera Cerrada;Primera;;-0.5;Male
Plaza Mitla;Plaza Mitla;;0.92;Female
Plaza Bonampak;Plaza Bonampak;;-1.0;Male
Plaza Chichen Itzá;Plaza Chichen Itzá;;-1.0;Male
Gloria;Gloria;;0.99;Female
Marina Nacional;Marina Nacional;;1.0;Female
Liga Nacional;Liga Nacional;;0.96;Female
Benito Juaréz;Benito Juaréz;;-0.5;Male
Jacobo Watt;Jacobo Watt;;-0.5;Male
Marcos Brunel;Marcos Brunel;;-0.5;Male
Huitzilihuitl;Huitzilihuitl;;-0.5;Male
Cuitláhuac;Cuitláhuac;;-1.0;Male
Arrollo Tlaloc;Arrollo Tlaloc;;-0.5;Male
Tonantzin;Tonantzin;;1.0;Female
Tezozomoc;Tezozomoc;;-0.5;Male
Cda. Mariano Matamoros;. Mariano Matamoros;;-0.5;Male
Agustín de Iturbide;Agustín de Iturbide;;-0.87;Male
Fuego Fatuo;Fuego Fatuo;;-1.0;Male
Halo;Halo;;0.72;Female
Amanecer;Amanecer;;1.0;Female
Mercurio;Mercurio;;-0.5;Male
Marte;Marte;;0.92;Female
Venus;Venus;;0.98;Female
