calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Carrer de la Baronessa de Maldà,Baronessa Maldà,,1.0,Female,https://es.wikipedia.org/wiki/Baron%C3%ADa_de_Mald%C3%A1_y_Maldanell
carrer de la Camèlia,Camèlia,,1.0,Female,
Carrer de la Maria Victòria,Maria Victòria,,1.0,Female,
Carrer de la Merce,Merce,,1.0,Female,
Carrer de la Mercè,Mercè,,1.0,Female,
Carrer de la Mercè,Mercè,,1.0,Female,
Carrer de la Miranda,Miranda,,1.0,Female,
Carrer de la Princesa,Princesa,,1.0,Female,
Carrer de la Reina Amàlia,Reina Amàlia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia
Carrer de la Reina Amàlia,Reina Amàlia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia
Carrer de la Reina Cristina,Reina Cristina,,1.0,Female,https://es.wikipedia.org/wiki/Cristina_de_Suecia
Carrer de la Reina Elionor,Reina Elionor,,1.0,Female,https://es.wikipedia.org/wiki/Leonor_de_Arag%C3%B3n_y_Foix
Carrer de la Reina Elisenda,Reina Elisenda,,1.0,Female,https://es.wikipedia.org/wiki/Elisenda_de_Moncada
Carrer de la Reina Victòria,Reina Victòria,,1.0,Female,https://ca.wikipedia.org/wiki/Reina_Vict%C3%B2ria_del_Regne_Unit
Carrer de la Rosa,Rosa,,1.0,Female,
carrer de la Rosella,Rosella,,1.0,Female,
Carrer de la Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer de la Verònica,Verònica,,1.0,Female,
Carrer de Lorena,Lorena,,1.0,Female,
Carrer de Margarida xirgu,Margarida xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer de Maria,Maria,,1.0,Female,
carrer de Maria Antonia,Maria Antonia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Austria
Carrer de Maria Antònia,Maria Antònia,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Austria
Carrer de Maria Auxiliadora,Maria Auxiliadora,,1.0,Female,
Carrer de Maria Reina,Maria Reina,,1.0,Female,
Carrer de Maria Reina,Maria Reina,,1.0,Female,
Carrer de Mariana Pineda,Mariana Pineda,,1.0,Female,https://es.wikipedia.org/wiki/Mariana_Pineda
Carrer de Matilde,Matilde,,1.0,Female,
Carrer de Mercè Rodoreda,Mercè Rodoreda,,1.0,Female,https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda
Carrer de Mercè Rodoreda,Mercè Rodoreda,,1.0,Female,https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda
Carrer de Mercè Rodoreda,Mercè Rodoreda,,1.0,Female,https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda
Carrer de Minerva,Minerva,,1.0,Female,
Carrer de Mireia,Mireia,,1.0,Female,
Carrer de Montserrat,Montserrat,,1.0,Female,
Carrer de Montserrat,Montserrat,,1.0,Female,
carrer de Montserrat,Montserrat,,1.0,Female,
Carrer de Montserrat de Casanovas,Montserrat de Casanovas,,1.0,Female,
Carrer de Montserrat Roig,Montserrat Roig,,1.0,Female,https://es.wikipedia.org/wiki/Montserrat_Roig
Carrer de Montserrat Roig,Montserrat Roig,,1.0,Female,https://es.wikipedia.org/wiki/Montserrat_Roig
Carrer de Nostra Senyora de la Mercè,Nostra Senyora Mercè,,1.0,Female,
carrer de Ntra. Sra. del Carme,Ntra. Sra. Carme,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Carrer de Paquita Borràs,Paquita Borràs,,1.0,Female,https://ca.wikipedia.org/wiki/Paquita_Borr%C3%A0s_i_Nicol%C3%A0s
Carrer de Santa Albina,Santa Albina,,1.0,Female,https://pt.wikipedia.org/wiki/Santa_Albina
Carrer de Santa Amàlia,Santa Amàlia,,1.0,Female,
carrer de Santa Amàlia,Santa Amàlia,,1.0,Female,
Carrer de Santa Amèlia,Santa Amèlia,,1.0,Female,https://es.wikipedia.org/wiki/Amalberga_de_Maubeuge
carrer de Santa Bàrbara,Santa Bàrbara,,1.0,Female,https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Carrer de Santa Cecilia,Santa Cecilia,,1.0,Female,https://es.wikipedia.org/wiki/Cecilia_de_Roma
Carrer de Santa Dorotea,Santa Dorotea,,1.0,Female,https://es.wikipedia.org/wiki/Dorotea_(santa)
Carrer de Santa Elena,Santa Elena,,1.0,Female,https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Carrer de Santa Eugènia,Santa Eugènia,,1.0,Female,https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir)
Carrer de Santa Eulália,Santa Eulália,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Carrer de Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Carrer de Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
carrer de Santa Filomena,Santa Filomena,,1.0,Female,https://es.wikipedia.org/wiki/Filomena_(santa)
Carrer de Santa Laura,Santa Laura,,1.0,Female,https://es.wikipedia.org/wiki/Santa_Laura
Carrer de Santa Magdalena,Santa Magdalena,,1.0,Female,https://es.wikipedia.org/wiki/Santa_Magdalena_(desambiguaci%C3%B3n)
carrer de Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer de Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
