calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Carrer de Santa Anna,Santa Anna,,0.98,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Carrer de Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Carrer de Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Carrer de Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Plaça de la Bella Dorita,Bella Dorita,,0.98,Female,https://es.wikipedia.org/wiki/La_Bella_Dorita
Carrer de Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Carrer de l'Hort de la Vila,Hort Vila,,0.97,Female,
Carrer de la Nau Santa Maria,Nau Santa Maria,,0.97,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer de la Verge de Núria,Verge Núria,,0.97,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
Carrer de la Verge dels Dolors,Verge Dolors,,0.97,Female,https://ca.wikipedia.org/wiki/Verge_dels_Dolors
Carrer Verge de les Neus,Verge Neus,,0.97,Female,
carrer de Luz Casanova,Luz Casanova,,0.95,Female,https://es.wikipedia.org/wiki/Luz_Casanova
Carrero de Santa Maria,o Santa Maria,,0.95,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer de la Mare de Déu del Pilar,Mare Déu Pilar,,0.94,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Carrer de Madame Butterfly,Madame Butterfly,,0.94,Female,https://es.wikipedia.org/wiki/Madama_Butterfly
Carrer del Comte de Santa Clara,Comte Santa Clara,,0.94,Female,https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs
Mileva Maric,Mileva Maric,,0.94,Female,https://es.wikipedia.org/wiki/Mileva_Mari%C4%87
Plaça de Mercè Rodoreda i Gurgui,Mercè Rodoreda i Gurgui,,0.93,Female,https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda
Carrer de Rosario Pi,Rosario Pi,,0.9,Female,https://es.wikipedia.org/wiki/Rosario_Pi
Carrer de Santa Magdalena Sofia,Santa Magdalena Sofia,,0.9,Female,https://es.wikipedia.org/wiki/Magdalena_Sof%C3%ADa_Barat
Carrer de Nostra Senyora de Montserrat,Nostra Senyora de Montserrat,,0.88,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
carrer de Santa Carolina,Santa Carolina,,0.88,Female,
Passatge de Paca Soler,Paca Soler,,0.87,Female,https://ca.wikipedia.org/wiki/Francisca_Soler
Verge de Montserrat,Verge de Montserrat,,0.86,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
carrer de Donya Amadea,Donya Amadea,,0.85,Female,
Carrer de Donya Amèlia,Donya Amèlia,,0.85,Female,
Carrer de Santa Gemma,Santa Gemma,,0.85,Female,https://es.wikipedia.org/wiki/Gema_Galgani
Carrer de Santa Gemma,Santa Gemma,,0.85,Female,https://es.wikipedia.org/wiki/Gema_Galgani
Carrer de Juli Culebres i Barba,Juli Culebres i Barba,,0.82,Female,
Carrer de la Verge de la Paloma,Verge la Paloma,,0.82,Female,https://es.wikipedia.org/wiki/Virgen_de_la_Paloma_de_Madrid
Carrer de Sor Eulàlia d'Anzizu,Sor Eulàlia Anzizu,,0.82,Female,
Carrer de Sor Eulàlia d'Anzizu,Sor Eulàlia Anzizu,,0.82,Female,
Passatge Mare de Déu de l'Estrella,Mare Déu Estrella,,0.82,Female,
Carrer de Santa Joana d'Arc,Santa Joana Arc,,0.81,Female,https://es.wikipedia.org/wiki/Juana_de_Arco
Carrer de Santa Caterina,Santa Caterina,,0.78,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Carrer de Santa Caterina,Santa Caterina,,0.78,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Carrer de Santa Caterina de Siena,Santa Caterina de Siena,,0.78,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Carrer de Santa Caterina de Siena,Santa Caterina de Siena,,0.78,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Passatge de Santa Gertrudis,Santa Gertrudis,,0.78,Female,https://es.wikipedia.org/wiki/Gertrudis_de_Helfta
Plaça de Santa Caterina,Santa Caterina,,0.78,Female,https://es.wikipedia.org/wiki/Catalina_de_Siena
Avinguda de Santa Coloma,Santa Coloma,,0.77,Female,https://es.wikipedia.org/wiki/Columba_de_Sens
Avinguda Santa Coloma,Santa Coloma,,0.77,Female,https://es.wikipedia.org/wiki/Columba_de_Sens
Carrer de Santa Coloma,Santa Coloma,,0.77,Female,https://es.wikipedia.org/wiki/Columba_de_Sens
Carrer de Santa Joaquima de Vedruna,Santa Joaquima de Vedruna,,0.77,Female,https://es.wikipedia.org/wiki/Joaquina_de_Vedruna
carrer de Santa Joaquima de Vedruna,Santa Joaquima de Vedruna,,0.77,Female,https://es.wikipedia.org/wiki/Joaquina_de_Vedruna
Carrer de Santa Lluisa de Marillac,Santa Lluisa de Marillac,,0.77,Female,https://es.wikipedia.org/wiki/Luisa_de_Marillac
Carrer de Santa Margarida,Santa Margarida,,0.77,Female,https://es.wikipedia.org/wiki/Margarita_de_Antioqu%C3%ADa
Carrer de Santa Margarida,Santa Margarida,,0.77,Female,https://es.wikipedia.org/wiki/Margarita_de_Antioqu%C3%ADa
Carrer de Santa Olívia,Santa Olívia,,0.77,Female,https://es.wikipedia.org/wiki/Olivia
Carrer de Santa Tecla,Santa Tecla,,0.77,Female,https://es.wikipedia.org/wiki/Tecla_de_Iconio
Passeig de Santa Coloma,Santa Coloma,,0.77,Female,https://es.wikipedia.org/wiki/Columba_de_Sens
Passeig de Santa Coloma,Santa Coloma,,0.77,Female,https://es.wikipedia.org/wiki/Columba_de_Sens
Camí de Santa Creu d'Olorda,Santa Creu Olorda,,0.76,Female,
Camí vell de Santa Creu d'Olorda a Vallvidrera,vell Santa Creu Olorda a Vallvidrera,,0.76,Female,
Carrer Camí Antic de Santa Creu d'Olorda,Carrer  Antic Santa Creu Olorda,,0.76,Female,
Carrer de la Mare de Déu de les Neus,Mare Déu Neus,,0.76,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer de Santa Àgata,Santa Àgata,,0.76,Female,https://es.wikipedia.org/wiki/%C3%81gueda_de_Catania
Carrer de Santa Elionor,Santa Elionor,,0.76,Female,https://ca.wikipedia.org/wiki/Elionor_de_Proven%C3%A7a
Carrer de Santa Engràcia,Santa Engràcia,,0.76,Female,https://es.wikipedia.org/wiki/Engracia_de_Zaragoza
Carrer de Santa Engràcia,Santa Engràcia,,0.76,Female,https://es.wikipedia.org/wiki/Engracia_de_Zaragoza
Carrer de Santa Llúcia,Santa Llúcia,,0.76,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Carrer de Santa Llúcia,Santa Llúcia,,0.76,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Carrer de Santa Madrona,Santa Madrona,,0.76,Female,https://es.wikipedia.org/wiki/Madrona
Carrer de Santa Madrona,Santa Madrona,,0.76,Female,https://es.wikipedia.org/wiki/Madrona
Carrer de Santa Marcel·lina,Santa Marcel·lina,,0.76,Female,https://es.wikipedia.org/wiki/Marcelina_(santa)
Carrer de Santa Peronella,Santa Peronella,,0.76,Female,https://ca.wikipedia.org/wiki/Peronella_de_Roma
Carrer Mare de Déu del Carme,Mare Déu Carme,,0.76,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Carrer Mare de Déu del Carme,Mare Déu Carme,,0.76,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Passeig de Santa Eularia,Santa Eularia,,0.76,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Passeig de Santa Madrona,Santa Madrona,,0.76,Female,https://es.wikipedia.org/wiki/Madrona
Carrer del Portal de Santa Madrona,Portal Santa Madrona,,0.75,Female,https://es.wikipedia.org/wiki/Madrona
Carrer del Portal de Santa Madrona,Portal Santa Madrona,,0.75,Female,https://es.wikipedia.org/wiki/Madrona
Carrer Mare Deu Nuria,Mare Deu Nuria,,0.75,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
Plaça de la Mare de Deu del Pilar,Mare Deu Pilar,,0.75,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Carrer de l'Arc de Santa Eulàlia,Arc Santa Eulàlia,,0.74,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Carrer de la Mare de Déu dels Dolors,Mare Déu Dolors,,0.74,Female,https://ca.wikipedia.org/wiki/Verge_dels_Dolors
Avinguda de la Mare de Déu de Montserrat,Mare Déu de Montserrat,,0.72,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer de la Mare de Déu de Montserrat,Mare Déu de Montserrat,,0.72,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer de la Mare de Déu de Montserrat,Mare Déu de Montserrat,,0.72,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer del Terç de la Mare de Déu de Montserrat,Terç Mare Déu de Montserrat,,0.72,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Plaça de la Mare de Déu de Montserrat,Mare Déu de Montserrat,,0.72,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer d'Amàlia Garcia,Amàlia Garcia,,0.71,Female,
Carrer de Nostra Senyora de Lourdes,Nostra Senyora de Lourdes,,0.71,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes
Carrer de Nostra senyora de Lourdes,Nostra senyora de Lourdes,,0.71,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes
carrer Nou de Santa Eulàlia,Nou Santa Eulàlia,,0.71,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Carrer Constança,Constança,,0.68,Female,
Carrer de Constança,Constança,,0.68,Female,
Carrer de Victoria dels Angels,Victoria Angels,,0.68,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Getafe)
Carrer de La Mare de Déu del Pilar,La Mare de Déu Pilar,,0.66,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Carrer de Victoria Kent,Victoria Kent,,0.66,Female,https://es.wikipedia.org/wiki/Victoria_Kent
Carrer de la Mare de Déu dels Angels,Mare Déu Angels,,0.65,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Getafe)
Carrer de la Mare de Déu del Remei,Mare Déu Remei,,0.63,Female,https://es.wikipedia.org/wiki/Virgen_de_los_Remedios
Carrer de la Verge de Guadalupe,Verge Guadalupe,,0.62,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Guadalupe_(M%C3%A9xico)
Carrer Mare de Déu de la Mercè,Mare Déu Mercè,,0.61,Female,https://es.wikipedia.org/wiki/Virgen_de_la_Merced
Carrer de la Mare de Déu,Mare Déu,,0.6,Female,
Carrer de la Mare de Déu de les Feixes,Mare Déu Feixes,,0.6,Female,
Carrer de la Mare de Deu de Montserrat,Mare Deu de Montserrat,,0.6,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Carrer de la Mare de Déu del Coll,Mare Déu Coll,,0.6,Female,
Carrer de la Mare de Dèu del Port,Mare Dèu Port,,0.6,Female,
Carrer de la Mare de Déu dels Àngels,Mare Déu Àngels,,0.6,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Getafe)
Carrer de la Mare de Déu dels Desamparats,Mare Déu Desamparats,,0.6,Female,https://es.wikipedia.org/wiki/Virgen_de_los_Desamparados
Passeig de la Mare de Déu del Coll,Mare Déu Coll,,0.6,Female,
Carrer Mare de Deu dels Angels,Mare Deu Angels,,0.59,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Getafe)
Avinguda Mare de Deu de Bellvitge,Mare Deu de Bellvitge,,0.58,Female,
Carrer Mare de Deu de la Llum,Mare Deu Llum,,0.58,Female,
Carrer Mare Deu Desamparats,Mare Deu Desamparats,,0.58,Female,https://es.wikipedia.org/wiki/Virgen_de_los_Desamparados
Carrer de l'Elisi,Elisi,,0.57,Female,
Carrer de la Mare de Déu de Núria,Mare Déu de Núria,,0.56,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
Carrer de la Mare de Déu de Núria,Mare Déu de Núria,,0.56,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
carrer de la Mare de Déu de Núria,Mare Déu de Núria,,0.56,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
Carrer Mare de Déu de Núria,Mare Déu de Núria,,0.56,Female,https://es.wikipedia.org/wiki/Virgen_de_Nuria
Avinguda de la Mare de Déu de Bellvitge,Mare Déu de Bellvitge,,0.54,Female,
Avinguda de la Mare de Déu de Lorda,Mare Déu de Lorda,,0.54,Female,https://ca.wikipedia.org/wiki/Nostra_Senyora_de_Lorda
Avinguda de la Mare de Déu de Lorda,Mare Déu de Lorda,,0.54,Female,https://ca.wikipedia.org/wiki/Nostra_Senyora_de_Lorda
Avinguda Mare de Déu de Bellvitge,Mare Déu de Bellvitge,,0.54,Female,
Camí Mare de Déu de Lorda,Mare Déu de Lorda,,0.54,Female,https://ca.wikipedia.org/wiki/Nostra_Senyora_de_Lorda
Carrer de C. Amaya,C. Amaya,,0.54,Female,https://es.wikipedia.org/wiki/Carmen_Amaya
Carrer de la Mare de Déu de Gràcia,Mare Déu de Gràcia,,0.54,Female,
Carrer de la Mare de Déu de la Mercè,Mare Déu de la Mercè,,0.54,Female,https://es.wikipedia.org/wiki/Virgen_de_la_Merced
Carrer de la Mare de Déu de la Salut,Mare Déu de la Salut,,0.54,Female,
Carrer de la Mare de Déu de Lorda,Mare Déu de Lorda,,0.54,Female,https://ca.wikipedia.org/wiki/Nostra_Senyora_de_Lorda
Carrer de la Mare de Déu de Port,Mare Déu de Port,,0.54,Female,
Carrer de la Verge de la Mercè,Verge la Mercè,,0.53,Female,https://es.wikipedia.org/wiki/Virgen_de_la_Merced
Carrer de Mare de Déu de Fàtima,Mare de Déu de Fàtima,,0.53,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
Carrer Rosalía de Castro,Rosalía Castro,,0.52,Female,https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro
carrer d'Àrtemis,Àrtemis,,0.5,Female,https://es.wikipedia.org/wiki/Artemisa
Carrer de Carme Galceran,Carme Galceran,,0.5,Female,
carrer de Carme Karr,Carme Karr,,0.5,Female,https://es.wikipedia.org/wiki/Carmen_Karr
Carrer de Carme Karr,Carme Karr,,0.5,Female,https://es.wikipedia.org/wiki/Carmen_Karr
Carrer de Caterina Casas,Caterina Casas,,0.5,Female,
Carrer de Clementina Arderiu,Clementina Arderiu,,0.5,Female,https://es.wikipedia.org/wiki/Clementina_Arderiu
Carrer de Dolores Ibárruri,Dolores Ibárruri,,0.5,Female,https://es.wikipedia.org/wiki/Dolores_Ib%C3%A1rruri
Carrer de Dolors Almeda i Roig,Dolors Almeda i Roig,,0.5,Female,
Carrer de Dolors Lleonart,Dolors Lleonart,,0.5,Female,
Carrer de Dolors Masferrer i Bosch,Dolors Masferrer i Bosch,,0.5,Female,https://ca.wikipedia.org/wiki/Dolors_Masferrer_i_Bosch
Carrer de la Mare de Déu dels Reis,Mare Déu Reis,,0.5,Female,
Carrer de la Puríssima Concepció,Puríssima Concepció,,0.5,Female,https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n
Carrer de Violant d'Hongria Reina d'Arago,Violant Hongria Reina d'Arago,,0.5,Female,https://es.wikipedia.org/wiki/Violante_de_Hungr%C3%ADa
Passatge Concepció,Concepció,,0.5,Female,
Passatge d'Artemís,Artemís,,0.5,Female,https://es.wikipedia.org/wiki/Artemisa
Passatge de Dolors Almeda i Roig,Dolors Almeda i Roig,,0.5,Female,
Passatge de Mercedes,Mercedes,,0.5,Female,
Passatge de Carmen de Burgos,Carmen de Burgos,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_de_Burgos
Carrer de Elionor de Montcada,Elionor de Montcada,,0.45,Female,
Passatge Lluisa Vidal,Lluisa Vidal,,0.41,Female,https://es.wikipedia.org/wiki/Llu%C3%AFsa_Vidal
Carrer de Secretari Coloma,Secretari Coloma,,-1.0,Male,
Carrer del Secretari Coloma,Secretari Coloma,,-1.0,Male,
Carrer de Mila i Fontanals,Mila i Fontanals,,-1.0,Male,
Carrer del Taquígraf Serra,Taquígraf Serra,,-1.0,Male,
carrer d'Andrea Dòria,Andrea Dòria,,-1.0,Male,
Carrer d'Andrea Dòria,Andrea Dòria,,-1.0,Male,
Carrer de Juli Garreta,Juli Garreta,,-1.0,Male,
Carrer de Juli Garreta,Juli Garreta,,-1.0,Male,
Carrer de Juli Garreta,Juli Garreta,,-1.0,Male,
Carrer del Germà Juli,Germà Juli,,-1.0,Male,
Carrer Juli García,Juli García,,-1.0,Male,
Passatge Juli Garreta,Juli Garreta,,-1.0,Male,
passatge de Sant Antoni Maria Claret,passatge  Antoni Maria Claret,,-1.0,Male,
Plaça d'Emili Mira,Emili Mira,,-1.0,Male,
Carrer de Francesc Julia,Francesc Julia,,-1.0,Male,
Lluís Maria Xirinacs i Damians,Lluís Maria Xirinacs i Damians,,-1.0,Male,
Carrer de Josep Maria Cuyàs i Tolosa,Josep Maria Cuyàs i Tolosa,,-1.0,Male,
Carrer de Josep Maria Huertas Claveria,Josep Maria Huertas Claveria,,-1.0,Male,
Rambla de Jujol Josep Maria,Jujol Josep Maria,,-1.0,Male,
Carrer de Peris i Mencheta,Peris i Mencheta,,-1.0,Male,
Passatge de Peris i Mencheta,Peris i Mencheta,,-1.0,Male,
Carrer de Lo Gaiter del Llobregat,Lo Gaiter Llobregat,,-1.0,Male,
Carrer de Sant Antoni Maria Claret,Sant Antoni Maria Claret,,-1.0,Male,
Carrer de Sant Antoni Maria Claret,Sant Antoni Maria Claret,,-1.0,Male,
carrer de Sant Antoni Maria Claret,Sant Antoni Maria Claret,,-1.0,Male,
Carrer de Milà i Fontanals,Milà i Fontanals,,-1.0,Male,
carrer de Milà i Fontanals,Milà i Fontanals,,-1.0,Male,
passatge de Milà i Fontanals,Milà i Fontanals,,-1.0,Male,
Baixada de Sant Marià,Sant Marià,,-1.0,Male,
Carrer de Marià Benlliure,Marià Benlliure,,-1.0,Male,
Carrer de Marià Benlliure,Marià Benlliure,,-1.0,Male,
Carrer de Marià Cubí,Marià Cubí,,-1.0,Male,
Carrer de Marià Fortuny,Marià Fortuny,,-1.0,Male,
Carrer de Marià Fortuny,Marià Fortuny,,-1.0,Male,
Carrer de Marià Labèrnia,Marià Labèrnia,,-1.0,Male,
Carrer de Sant Marià,Sant Marià,,-1.0,Male,
Carrer Marià Fortuny,Marià Fortuny,,-1.0,Male,
Carrer Marià Thomas,Marià Thomas,,-1.0,Male,
Carrer de Calderón de la Barca,Calderón Barca,,-1.0,Male,
Carrer de Calderón de la Barca,Calderón Barca,,-1.0,Male,
carrer de Calderón de la Barca,Calderón Barca,,-1.0,Male,
Carrer de Bonaventura Pollés,Bonaventura Pollés,,-1.0,Male,
Camí del Francès,Francès,,-1.0,Male,
Avinguda Apel·les Mestres,Apel·les Mestres,,-1.0,Male,
Avinguda Arturo Mundet,Arturo Mundet,,-1.0,Male,
avinguda d'Alfons XIII,Alfons XIII,,-1.0,Male,
Avinguda d'Apel·les Mestres,Apel·les Mestres,,-1.0,Male,
avinguda de Carles Rabassó,Carles Rabassó,,-1.0,Male,
Avinguda de Ferran VII,Ferran VII,,-1.0,Male,
Avinguda de Joan Carles I,Joan Carles I,,-1.0,Male,
Avinguda de Joan Garí,Joan Garí,,-1.0,Male,
Avinguda de Joan XIII,Joan XIII,,-1.0,Male,
Avinguda de Ros i guell,Ros i guell,,-1.0,Male,
Avinguda de Tomás Giménez,Tomás Giménez,,-1.0,Male,
Avinguda del Mestre Alfons,Mestre Alfons,,-1.0,Male,
avinguda del President Companys,President Companys,,-1.0,Male,
Avinguda del President Companys,President Companys,,-1.0,Male,
Avinguda del President Lluís Companys,President Lluís Companys,,-1.0,Male,
Avinguda Pablo Picasso,Pablo Picasso,,-1.0,Male,
Baixada de Rivero,Rivero,,-1.0,Male,
Blasco Ibañez,Bsco Ibañez,,-1.0,Male,
Camí de Cal Notari,Cal Notari,,-1.0,Male,
Camí de Ferran Puig,Ferran Puig,,-1.0,Male,
Camí de Plà Llorens,Plà Llorens,,-1.0,Male,
Camí de Tenzing Norgay,Tenzing Norgay,,-1.0,Male,
camí del Rector Josep Maria García,Rector Josep Maria García,,-1.0,Male,
carrer alta de Sant Pedro,alta Sant Pedro,,-1.0,Male,
Carrer Antic de Sant Joan,Antic Sant Joan,,-1.0,Male,
Carrer Arquitecte Adell Ferrer,Arquitecte Adell Ferrer,,-1.0,Male,
Carrer Ausiàs Marc,Ausiàs Marc,,-1.0,Male,
Carrer Baldiri Comas,Baldiri Comas,,-1.0,Male,
Carrer Cardenal Reig,Cardenal Reig,,-1.0,Male,
Carrer Cardenal Reig,Cardenal Reig,,-1.0,Male,
Carrer Carles Buigas,Carles Buigas,,-1.0,Male,
Carrer Comte Borrell,Comte Borrell,,-1.0,Male,
Carrer d'Adolf Florensa,Adolf Florensa,,-1.0,Male,
Carrer d'Agustí Domingo,Agustí Domingo,,-1.0,Male,
Carrer d'Albert Einstein,Albert Einstein,,-1.0,Male,
Carrer d'alberto Bayo Giroud,alberto Bayo Giroud,,-1.0,Male,
Carrer d'Alfons XII,Alfons XII,,-1.0,Male,
carrer d'Alfons XII,Alfons XII,,-1.0,Male,
Carrer d'Àngel Guimerà,Àngel Guimerà,,-1.0,Male,
Carrer d'Àngel Guimerà,Àngel Guimerà,,-1.0,Male,
Carrer d'Àngel Guimerà,Àngel Guimerà,,-1.0,Male,
Carrer d'Àngel Guirmerà,Àngel Guirmerà,,-1.0,Male,
Carrer d'Apel·les Mestres,Apel·les Mestres,,-1.0,Male,
Carrer d'Apel·les Mestres,Apel·les Mestres,,-1.0,Male,
Carrer d'Ausiàs Marc,Ausiàs Marc,,-1.0,Male,
Carrer d'Ausiàs Marc,Ausiàs Marc,,-1.0,Male,
carrer d'Ausiàs Marc,Ausiàs Marc,,-1.0,Male,
Carrer d'Edison,Edison,,-1.0,Male,
Carrer d'Eduard Blasco Ejarque,Eduard Blasco Ejarque,,-1.0,Male,
carrer d'Eduard Flò,Eduard Flò,,-1.0,Male,
Carrer d'Eduard Fontserè,Eduard Fontserè,,-1.0,Male,
carrer d'Eduard Fontserè,Eduard Fontserè,,-1.0,Male,
Carrer d'Eduard Gilbert,Eduard Gilbert,,-1.0,Male,
carrer d'Eduard Maristany,Eduard Maristany,,-1.0,Male,
carrer d'Eduard Marquina,Eduard Marquina,,-1.0,Male,
Carrer d'Eduard Toda,Eduard Toda,,-1.0,Male,
Carrer d'Eduard Toldrà,Eduard Toldrà,,-1.0,Male,
Carrer d'Eduard Toldrà,Eduard Toldrà,,-1.0,Male,
Carrer d'Eduard Tubau,Eduard Tubau,,-1.0,Male,
Carrer d'Eduardo Conde,Eduardo Conde,,-1.0,Male,
Carrer d'Enric Borras,Enric Borras,,-1.0,Male,
Carrer d'Enric Casanovas,Enric Casanovas,,-1.0,Male,
Carrer d'Enric Giménez,Enric Giménez,,-1.0,Male,
Carrer d'Enric Granados,Enric Granados,,-1.0,Male,
Carrer d'Enric Granados,Enric Granados,,-1.0,Male,
Carrer d'Eusebi Planas,Eusebi Planas,,-1.0,Male,
Carrer d'Eusebi Planas,Eusebi Planas,,-1.0,Male,
Carrer d'Hèrcules,Hèrcules,,-1.0,Male,
Carrer d'Hug de Rocabertí,Hug Rocabertí,,-1.0,Male,
Carrer d'Ignasi Iglesias,Ignasi Iglesias,,-1.0,Male,
Carrer d'Ignasi Iglesias,Ignasi Iglesias,,-1.0,Male,
carrer d'Ignasi Iglesias,Ignasi Iglesias,,-1.0,Male,
Carrer d'Ignasi Iglésias,Ignasi Iglésias,,-1.0,Male,
Carrer d'Igor Sikorski,Igor Sikorski,,-1.0,Male,
Carrer d'Isaac Albeniz,Isaac Albeniz,,-1.0,Male,
Carrer d'Isaac Albeniz,Isaac Albeniz,,-1.0,Male,
Carrer d'Isaac Albéniz,Isaac Albéniz,,-1.0,Male,
carrer d'Isaac Albéniz,Isaac Albéniz,,-1.0,Male,
Carrer d'Isaac Albèniz,Isaac Albèniz,,-1.0,Male,
Carrer d'Isaac Newton,Isaac Newton,,-1.0,Male,
Carrer d'Isidre Martí,Isidre Martí,,-1.0,Male,
Carrer d'Isidre Nonell,Isidre Nonell,,-1.0,Male,
Carrer d'Oriol Mestres,Oriol Mestres,,-1.0,Male,
Carrer d'Otto Lilienthal,Otto Lilienthal,,-1.0,Male,
Carrer de Bismark,Bismark,,-1.0,Male,
Carrer de Bosch,Bosch,,-1.0,Male,
Carrer de Cal Fernando,Cal Fernando,,-1.0,Male,
Carrer de Carles Collet,Carles Collet,,-1.0,Male,
Carrer de Carles Ferrer Salat,Carles Ferrer Salat,,-1.0,Male,
carrer de Carles I,Carles I,,-1.0,Male,
Carrer de Carles Martí i Vilà,Carles Martí i Vilà,,-1.0,Male,
Carrer de Carles Mercader,Carles Mercader,,-1.0,Male,
Carrer de Carles Pirozzini,Carles Pirozzini,,-1.0,Male,
Carrer de Carles Riba,Carles Riba,,-1.0,Male,
Carrer de Carles Stulemeijer,Carles Stulemeijer,,-1.0,Male,
Carrer de Cesare Cantù,Cesare Cantù,,-1.0,Male,
Carrer de Ciceró,Ciceró,,-1.0,Male,
Carrer de Comte Guell,Comte Guell,,-1.0,Male,
Carrer de Comte Guell,Comte Guell,,-1.0,Male,
Carrer de Copèrnic,Copèrnic,,-1.0,Male,
Carrer de Cornellà Modern,Cornellà Modern,,-1.0,Male,
Carrer de Cristòfol Colom,Cristòfol Colom,,-1.0,Male,
Carrer de Cristòfol Colom,Cristòfol Colom,,-1.0,Male,
Carrer de Demestre,Demestre,,-1.0,Male,
Carrer de Domènech,Domènech,,-1.0,Male,
Carrer de Domingo Fins,Domingo Fins,,-1.0,Male,
Carrer de Felip Bertran i Güell,Felip Bertran i Güell,,-1.0,Male,
Carrer de Felip Díaz Sandino,Felip Díaz Sandino,,-1.0,Male,
Carrer de Felip Pedrell,Felip Pedrell,,-1.0,Male,
Carrer de Feliu,Feliu,,-1.0,Male,
Carrer de Fernán Caballero,Fernán Caballero,,-1.0,Male,
Carrer de Fernández Duró,Fernández Duró,,-1.0,Male,
Carrer de Ferran Agulló,Ferran Agulló,,-1.0,Male,
Carrer de Ferran Junoy,Ferran Junoy,,-1.0,Male,
Carrer de Ferran Junoy,Ferran Junoy,,-1.0,Male,
Carrer de Ferran Puig,Ferran Puig,,-1.0,Male,
Carrer de Ferran Puig,Ferran Puig,,-1.0,Male,
Carrer de Ferran Turné,Ferran Turné,,-1.0,Male,
Carrer de Fulton,Fulton,,-1.0,Male,
Carrer de Giralt,Giralt,,-1.0,Male,
Carrer de González Tablas,González Tablas,,-1.0,Male,
Carrer de González Tablas,González Tablas,,-1.0,Male,
Carrer de Goya,Goya,,-1.0,Male,
Carrer de Goya,Goya,,-1.0,Male,
Carrer de Guifré,Guifré,,-1.0,Male,
Carrer de Guillem,Guillem,,-1.0,Male,
Carrer de Guillem Tell,Guillem Tell,,-1.0,Male,
Carrer de Jaume Puigvert,Jaume Puigvert,,-1.0,Male,
