calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Esteban;Esteban;Esteban;;-2;Male;
Calle Central - Juan Vega;Central - Juan Vega;Central;-;-2;Male;
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;
Avenida Central - León Cortés Castro;Central - León Cortés Castro;Central;-;-2;Male;
Calle León;León;León;;-2;Male;
Calle Sancho;Sancho;Sancho;;-2;Male;
Calle Aníbal Mora;Aníbal Mora;Aníbal;Mora;-2;Male;
Calle Guillermo Jim;Guillermo Jim;Guillermo;Jim;-2;Male;
Calle Hernán Rojas;Hernán Rojas;Hernán;Rojas;-2;Male;
Calle Gerardo Rojas;Gerardo Rojas;Gerardo;Rojas;-2;Male;
Calle Fulvio Araya;Fulvio Araya;Fulvio;Araya;-2;Male;
Avenida Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;
Avenida Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle San Bosco;San Bosco;San;Bosco;-2;Male;
Radial San Ramón;Radial San Ramón;Radial;San;-2;Male;
Puente Rafael Yglesias Castro;Rafael Yglesias Castro;Rafael;Yglesias;-2;Male;
Calle Valerio;Valerio;Valerio;;-2;Male;
Calle Abel Rodríguez;Abel Rodríguez;Abel;Rodríguez;-2;Male;
Calle Maurilio Ramos;Maurilio Ramos;Maurilio;Ramos;-2;Male;
Calle Fernando Vargas;Fernando Vargas;Fernando;Vargas;-2;Male;
Calle Tilo Vargas;Tilo Vargas;Tilo;Vargas;-2;Male;
Calle Carlos Tamuga;Carlos Tamuga;Carlos;Tamuga;-2;Male;
Calle Rafael Solano;Rafael Solano;Rafael;Solano;-2;Male;
Calle Paulino Ulate;Paulino Ulate;Paulino;Ulate;-2;Male;
Calle Rubén Rojas;Rubén Rojas;Rubén;Rojas;-2;Male;
Calle Ivo Rojas;Ivo Rojas;Ivo;Rojas;-2;Male;
Calle San Peter;San Peter;San;Peter;-2;Male;
Avenida Central Abel Rodríguez Vargas;Central Abel Rodríguez Vargas;Central;Abel;-2;Male;
Calle Rafael Barroeta;Rafael Barroeta;Rafael;Barroeta;-2;Male;
Calle Isaac Valverde Huertas;Isaac ValverHuertas;Isaac;ValverHuertas;-2;Male;
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male;
Calle Huascar;Huascar;Huascar;;-2;Male;
Avenida Cristóbal;Cristóbal;Cristóbal;;-2;Male;
Calle San Pío;San Pío;San;Pío;-2;Male;
Avenida Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;
Avenida Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male;
Avenida Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male;
Avenida Juan Manuel López del Corral;Juan Manuel López Corral;Juan;Manuel;-2;Male;
Calle Edwin;Edwin;Edwin;;-2;Male;
Calle Ulises;Ulises;Ulises;;-2;Male;
Calle General Eloy Alfaro;General Eloy Alfaro;General;Eloy;-2;Male;
Calle Fabio;Fabio;Fabio;;-2;Male;
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male;
Calle León Fernández;León Fernández;León;Fernández;-2;Male;
Calle Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male;
Avenida Juan Santamaria;Juan Santamaria;Juan;Santamaria;-2;Male;
Avenida Juan Alfaro Ruíz;Juan Alfaro Ruíz;Juan;Alfaro;-2;Male;
Calle General Próspero Fernández;General Próspero Fernández;General;Próspero;-2;Male;
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;
Boulevard Lorenzo Tristán;Lorenzo Tristán;Lorenzo;Tristán;-2;Male;
Avenida Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male;
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male;
Avenida São Paulo;São Paulo;São;Paulo;-2;Male;
Calle Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;
Calle San Ramón;San Ramón;San;Ramón;-2;Male;
Radial Francisco J. Orlich;Radial Francisco J. Orlich;Radial;Francisco;-2;Male;
Calle Ernesto Morera;Ernesto Morera;Ernesto;Morera;-2;Male;
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;
Avenida Santiago;Santiago;Santiago;;-2;Male;
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle Nardo;Nardo;Nardo;;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;
Calle Juan León;Juan León;Juan;León;-2;Male;
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;
Calle Paulino;Paulino;Paulino;;-2;Male;
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Jericó;Jericó;Jericó;;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Calle Vidal;Vidal;Vidal;;-2;Male;
Avenida El Cristóbal;El Cristóbal;El;Cristóbal;-2;Male;
Alameda Manuel María Gutiérrez;Alameda Manuel María Gutiérrez;Alameda;Manuel;-2;Male;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;
Alameda Wenceslao Argüello;Alameda Wenceslao Argüello;Alameda;Wenceslao;-2;Male;
Avenida Rafael Moya M.;Rafael Moya M.;Rafael;Moya;-2;Male;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;
Calle Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;
Calle Napoleón Quesada;Napoleón Quesada;Napoleón;Quesada;-2;Male;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
