calle;calleClean;name;surname;fiabilidad;gender;categoria;typeofroad;wikipedia
Plaza de Nuestra Señora de Salas;Nuestra Señora de Salas;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Archivo:Nuestra_Se%C3%B1ora_de_salas_huesca.JPG
Plaza de Alfonso I el Batallador;Alfonso I el Batallador;Alfonso;I;-2;Male;;;
Pasaje de Burgos;Burgos;Burgos;;0;Unknown;;;
Calle Ingeniero Montaner;Ingeniero Montaner;Ingeniero;Montaner;-2;Male;;;
Plaza del Trinquete;Trinquete;Trinquete;;0;Unknown;;;
Plaza Concepción Arenal;Concepción Arenal;Concepción;Arenal;2;Female;;;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Placeta de Ramón y Alberto Gil Novales;Placeta de Ramón y Alberto Gil Novales;Placeta;de;-2;Male;;;
Plaza Alta;Alta;Alta;;0;Unknown;;;
Plaza Baja;Baja;Baja;;0;Unknown;;;
Carretera de Huesca a Grañén;Carretera de Huesca a Grañén;Carretera;de;0;Unknown;;;
Carretera de Huesca a Fraga;Carretera de Huesca a Fraga;Carretera;de;0;Unknown;;;
Avenida de los Monegros;Monegros;Monegros;;0;Unknown;;;
Calle de Alcañiz;Alcañiz;Alcañiz;;0;Unknown;;;
Carretera de Pompenillo;Carretera de Pompenillo;Carretera;de;0;Unknown;;;
Calle de Zaragoza;Zaragoza;Zaragoza;;1;Unknown;;;
Calle de José Gil Cávez;José Gil Cávez;José;Gil;-2;Male;;;
Calle de la Torre Mendoza;Torre Mendoza;Torre;Mendoza;0;Unknown;;;
Calle de la Merced;Merced;Merced;;1;Unknown;;;
Calle de Badalona;Badalona;Badalona;;0;Unknown;;;
Calle de Fidel Pagés Miravé;FiPagés Miravé;FiPagés;Miravé;-2;Male;;;
Calle de Alcubierre;Alcubierre;Alcubierre;;0;Unknown;;;
Calle de Badajoz;Badajoz;Badajoz;;0;Unknown;;;
Calle de Ballobar;Ballobar;Ballobar;;0;Unknown;;;
Calle de Alcampell;Alcampell;Alcampell;;0;Unknown;;;
Calle de Albelda;Albelda;Albelda;;0;Unknown;;;
Calle de Algascar;Algascar;Algascar;;0;Unknown;;;
Calle de Baltasar Gracián;Baltasar Gracián;Baltasar;Gracián;-2;Male;;;
Calle del Obispo Pintado;Obispo Pintado;Obispo;Pintado;-2;Male;;;
Plaza Navarra;Navarra;Navarra;;0;Unknown;;;
Calle Villa Isabel;Villa Isabel;Villa;Isabel;-2;Male;;;
Calle de Vicente Campo Palacio;Vicente Campo Palacio;Vicente;Campo;-2;Male;;;
Calle de Cavia;Cavia;Cavia;;0;Unknown;;;
Calle de Barbastro;Barbastro;Barbastro;;0;Unknown;;;
Calle Santo Ángel de la Guarda;Santo Ángel Guarda;Santo;Ángel;-2;Male;;;
Calle Boltaña;Boltaña;Boltaña;;0;Unknown;;;
Calle de Luis Fatás;Luis Fatás;Luis;Fatás;-2;Male;;;
Ronda de la Estación;Ronda de la Estación;Ronda;de;0;Unknown;;;
Calle de Manuel Bescós;Manuel Bescós;Manuel;Bescós;-2;Male;;;
Calle de Tarbes;Tarbes;Tarbes;;0;Unknown;;;
Calle del Obispo Ram;Obispo Ram;Obispo;Ram;-2;Male;;;
Calle de Teruel;Teruel;Teruel;;0;Unknown;;;
Calle de Alfonso II de Aragón;Alfonso II de Aragón;Alfonso;II;-2;Male;;;
Calle de Doña Sancha;Doña Sancha;Doña;Sancha;2;Female;;;https://es.wikipedia.org/wiki/Sancha_de_Arag%C3%B3n
Travesía de Espinosa de los Monteros;Travesía de Espinosa de los Monteros;Travesía;de;0;Unknown;;;
Calle de Saturnino López Novoa;Saturnino López Novoa;Saturnino;López;-2;Male;;;
Calle de Pedro Zuera;Pedro Zuera;Pedro;Zuera;-2;Male;;;
Calle de Calatayud;Calatayud;Calatayud;;0;Unknown;;;
Camino de las Cruces;Cruces;Cruces;;0;Unknown;;;
Calle Pedro Alfonso;Pedro Alfonso;Pedro;Alfonso;-2;Male;;;
Calle de Irene Izárbez;Irene Izárbez;Irene;Izárbez;2;Female;;;https://es.wikipedia.org/wiki/Irene_Su%C3%A1rez
Calle de Almudévar;Almudévar;Almudévar;;0;Unknown;;;
Avenida Clara Campoamor;Clara Campoamor;Clara;Campoamor;2;Female;;;https://es.wikipedia.org/wiki/Clara_Campoamor
Calle María Zambrano;María Zambrano;María;Zambrano;2;Female;;;https://en.wikipedia.org/wiki/Mar%C3%ADa_Zambrano
Calle Ainielle;Ainielle;Ainielle;;0;Unknown;;;
Calle de los Olivos;Olivos;Olivos;;0;Unknown;;;
Calle Federico Balaguer;Federico Balaguer;Federico;Balaguer;-2;Male;;;
Calle del Doctor Cardús Llanas;Doctor Cardús Llanas;Doctor;Cardús;-2;Male;;;
Calle del Monasterio de Sigena;Monasterio Sigena;Monasterio;Sigena;0;Unknown;;;
Calle de José Castán Tobeñas;José Castán Tobeñas;José;Castán;-2;Male;;;
Calle Feria de San Andrés;Feria San Andrés;Feria;San;-2;Male;;;
Calle de Mateo Estaún Llanas;Mateo Estaún Llanas;Mateo;Estaún;-2;Male;;;
Calle de Binéfar;Binéfar;Binéfar;;0;Unknown;;;
Pasaje del Arco Iris;Arco Iris;Arco;Iris;0;Unknown;;;
Calle Ingeniero Cajal Lasala;Ingeniero Cajal Lasala;Ingeniero;Cajal;-2;Male;;;
Calle Alcalde Sender;AlcalSender;AlcalSender;;-2;Male;;;
Calle Sebastián Martín Retortillo y Baquer;Sebastián Martín Retortillo y Baquer;Sebastián;Martín;-2;Male;;;
Calle de San Úrbez;San Úrbez;San;Úrbez;-2;Male;;;
Calle Cerro San Jorge;Cerro San Jorge;Cerro;San;-2;Male;;;
Calle Cleriguech;Cleriguech;Cleriguech;;-2;Male;;;
Calle Ingeniero Pano;Ingeniero Pano;Ingeniero;Pano;-2;Male;;;
Calle Fuente del Ángel;Fuente Ángel;Fuente;Ángel;-2;Male;;;
Calle Enrique Capella;Enrique Capella;Enrique;Capella;-2;Male;;;
Calle de la Encarnación;Encarnación;Encarnación;;0;Unknown;;;
Camino de Cocorón;Cocorón;Cocorón;;0;Unknown;;;
Calle Bielsa;Bielsa;Bielsa;;0;Unknown;;;
Calle Ingeniero Lafiguera;Ingeniero Lafiguera;Ingeniero;Lafiguera;-2;Male;;;
Pasaje de Nuestra Señora de Salas;Nuestra Señora de Salas;Nuestra;Señora;2;Female;;;https://es.wikipedia.org/wiki/Archivo:Nuestra_Se%C3%B1ora_de_salas_huesca.JPG
Calle Ingeniero Bello;Ingeniero Bello;Ingeniero;Bello;-2;Male;;;
Calle Saturnino Baquer;Saturnino Baquer;Saturnino;Baquer;-2;Male;;;
Calle de Fidel Seral;FiSeral;FiSeral;;-2;Male;;;
Calle del Alcalde Carderera;AlcalCarderera;AlcalCarderera;;-2;Male;;;
Calle de los Argensolas;Argensolas;Argensolas;;0;Unknown;;;
Calle del Pintor León Abadías;Pintor León Abadías;Pintor;León;-2;Male;;;
Carretera de Buñales;Carretera de Buñales;Carretera;de;0;Unknown;;;
Calle Norte;Norte;Norte;;0;Unknown;;;
Pasaje Cruz del Sur;Cruz Sur;Cruz;Sur;0;Unknown;;;
Calle de Fernando de los Ríos;Calle Fernando s;Calle;Fernando;-2;Male;;;
Calle Anselmo Pie Sopena;Anselmo Pie Sopena;Anselmo;Pie;-2;Male;;;
Calle del Jazmín;Jazmín;Jazmín;;0;Unknown;;;
Calle Mor de Fuentes;Mor Fuentes;Mor;Fuentes;-2;Male;;;
Camino de La Granja;La Granja;La;Granja;0;Unknown;;;
Calle Corona de Aragón;Corona Aragón;Corona;Aragón;0;Unknown;;;
Calle Julio Alejandro Castro Cardús;Julio Alejandro Castro Cardús;Julio;Alejandro;-2;Male;;;
Pasaje de la Pintora Frida Kahlo;Pintora Frida Kahlo;Pintora;Frida;2;Female;;;https://es.wikipedia.org/wiki/Frida_Kahlo
Pasaje del Lucero;Lucero;Lucero;;-2;Male;;;
Calle de Cabestany;Cabestany;Cabestany;;0;Unknown;;;
Calle de Casado del Alisal;Casado Alisal;Casado;Alisal;-2;Male;;;
Calle de Benabarre;Benabarre;Benabarre;;0;Unknown;;;
Calle de Roldán;Roldán;Roldán;;-2;Male;;;
Calle de Rafael Ayerbe;Rafael Ayerbe;Rafael;Ayerbe;-2;Male;;;
Calle de Pedro Azorín;Pedro Azorín;Pedro;Azorín;-2;Male;;;
Calle Pablo Luis Maza;Pablo Luis Maza;Pablo;Luis;-2;Male;;;
Calle de Almogávares;Almogávares;Almogávares;;0;Unknown;;;
Calle Ingeniero Susín;Ingeniero Susín;Ingeniero;Susín;-2;Male;;;
Calle Caspe;Caspe;Caspe;;0;Unknown;;;
Calle Alcoraz;Alcoraz;Alcoraz;;0;Unknown;;;
Calle de San José de Calasanz;San José de Calasanz;San;José;-2;Male;;;
Plaza San Antonio;San Antonio;San;Antonio;-2;Male;;;
Calle de la Huerta;Huerta;Huerta;;0;Unknown;;;
Carretera de Bellestar y Tierz;Carretera de Bellestar y Tierz;Carretera;de;0;Unknown;;;
Camino de Sangarrén;Sangarrén;Sangarrén;;0;Unknown;;;
Calle de la Costereta;Costereta;Costereta;;0;Unknown;;;
Calle de la Lera;Lera;Lera;;0;Unknown;;;
Calle de las Piscinas;Piscinas;Piscinas;;0;Unknown;;;
Calle Alcalde Mariano Ponz Piedrafita;AlcalMariano Ponz Piedrafita;AlcalMariano;Ponz;-2;Male;;;
Camino del Cementerio;Cementerio;Cementerio;;0;Unknown;;;
Camino de la Torre de Estiche;Torre Estiche;Torre;Estiche;0;Unknown;;;
