Dolores Jiménez Muro;Dolores Jiménez Muro;;0.99;female;https://es.wikipedia.org/wiki/Dolores_Jim%C3%A9nez_y_Muro
Doña Juana;Doña Juana;;1.0;female;
Dora;Dora;;0.98;female;
Dulce Olivia;Dulce Olivia;;1.0;female;
Elisa Acuña Rosete;Elisa Acuña Rosete;;1.0;female;https://es.wikipedia.org/wiki/Elisa_Acu%C3%B1a
Elisa G. Otis;Elisa G. Otis;;0.99;female;
Villa Eloísa;Eloísa;;1.0;female;
Elsa;Elsa;;1.0;female;
Elvira;Elvira;;1.0;female;
Elvira;Elvira;;1.0;female;
Elvira Vargas;Elvira Vargas;;0.5;female;
Elvira Vargas;Elvira Vargas;;0.5;female;
Emilia Romero de Valle;Emilia Romero de;;1.0;female;
Emma;Emma;;0.99;female;
Encarnación;Encarnación;;1.0;female;
Encarnación Ortiz;Encarnación Ortiz;;0.93;female;https://es.wikipedia.org/wiki/Encarnaci%C3%B3n_Ortiz
Enna;Enna;;1.0;female;
Enriqueta;Enriqueta;;1.0;female;
Ernestina Larranzar;Ernestina Larranzar;;1.0;female;
Esperanza López Mateos;Esperanza López Mateos;;0.5;female;https://es.wikipedia.org/wiki/Esperanza_L%C3%B3pez_Mateos
Estela;Estela;;1.0;female;
Esther;Esther;;0.99;female;
Esther;Esther;;0.99;female;
Esther Zuno;Esther Zuno;;0.99;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Esther_Zuno
Av. Eugenia;Eugenia;;0.67;female;
Eugenia;Eugenia;;0.67;female;
Eulalia Guzmán;Eulalia Guzmán;;1.0;female;https://es.wikipedia.org/wiki/Eulalia_Guzm%C3%A1n_Barr%C3%B3n
Eva Sámano;Eva Sámano;;1.0;female;https://es.wikipedia.org/wiki/Eva_S%C3%A1mano
Fany Cano;Fany Cano;;0.95;female;https://es.wikipedia.org/wiki/Fanny_Cano
Faustina Benítez;Faustina Benítez;;0.99;female;https://es.wikipedia.org/wiki/Faustina_Ben%C3%ADtez
Florencia Antillón;Florencia Antillón;;0.5;female;
Francisca Aburto;Francisca Aburto;;1.0;female;
Francisca García Batle;Francisca García Batle;;1.0;female;
Calle Frida Kalho;Frida Kalho;;0.99;female;https://es.wikipedia.org/wiki/Frida_Kahlo
Frida Kalho;Frida Kalho;;0.99;female;https://es.wikipedia.org/wiki/Frida_Kahlo
Gabriela Mistral;Gabriela Mistral;;1.0;female;https://es.wikipedia.org/wiki/Gabriela_Mistral
Gabriela Mistral;Gabriela Mistral;;1.0;female;https://es.wikipedia.org/wiki/Gabriela_Mistral
