calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Avenida Luis Firpo;Luis Firpo;Luis;Firpo;-2;Male;
Avenida Justo P. Far√≠as;Justo P. Far√≠as;Justo P.;FarÌas;-2;Male;
Avenida General San Mart√≠n;General San Mart√≠n;JosÈ;de San MartÌn;-2;Male;
Pasaje Juan Ram√≥n Lestani;Juan Ram√≥n Lestani;Juan RamÛn;Lestani;-2;Male;
Arturo Umberto Illia;Arturo Umberto Illia;Arturo Umberto;Illia;-2;Male;
Juan B. Justo;Juan B. Justo;Juan B.;Justo;-2;Male;
Ernesto Duvivier;Ernesto Duvivier;Ernesto;Duvivier;-2;Male;
Julio Tort;Julio Tort;Julio;Tort;-2;Male;
Pasaje Julio Tort;Julio Tort;Julio;Tort;-2;Male;
Pasaje Franklin;Franklin;Benjamin;Franklin;-2;Male;
Avenida Juan Jos√© Castelli;Juan Jos√© Castelli;Juan JosÈ;Castelli;-2;Male;
Carlos Boggio;Carlos Boggio;Carlos;Boggio;-2;Male;
Pasaje Carlos Boggio;Carlos Boggio;Carlos;Boggio;-2;Male;
Miguel Z. Delfino;Miguel Z. Delfino;Miguel Z.;Delfino;-2;Male;
Ingeniero Augusto Schur;Ingeniero Augusto Schur;Augusto;Schur;-2;Male;
Jos√© Mar√≠a Toledo;Jos√© Mar√≠a Toledo;JosÈ MarÌa;Toledo;-2;Male;
Pasaje Bibiano Meza;Bibiano Meza;Bibiano;Meza;-2;Male;
Roger Balet;Roger Balet;Roger;Balet;-2;Male;
Pasaje Roger Balet;Roger Balet;Roger;Balet;-2;Male;
Pasaje Mario Villalva;Pasaje Mario lva;Mario;Villalva;-2;Male;
Jos√© Rucci;Jos√© Rucci;JosÈ;Rucci;-2;Male;
Pedro Olaz√°bal;Pedro Olaz√°bal;Pedro;Olaz·bal;-2;Male;
Don Bosco;Don Bosco;Don;Bosco;-2;Male;
Pasaje Fray Luis Beltr√°n;Fray Luis Beltr√°n;Luis;Beltr·n;-2;Male;
Pasaje Jos√© Navarro;Jos√© Navarro;JosÈ;Navarro;-2;Male;
Jos√© Navarro;Jos√© Navarro;JosÈ;Navarro;-2;Male;
San Bartolom√©;San Bartolom√©;BartolomÈ;;-2;Male;
Hip√≥lito Yrigoyen;Hip√≥lito Yrigoyen;HipÛlito;Yrigoyen;-2;Male;
√Ångel Busto;√Ångel Busto;¡ngel;Busto;-2;Male;
Silvano Dante;Silvano Dante;Silvano;Dante;-2;Male;
Doctor Alfredo Parodi;Doctor Alfredo Parodi;Alfredo;parodi;-2;Male;
Pasaje Arturo Illia;Arturo Illia;Arturo;Illia;-2;Male;
Mart√≠n Goit√≠a;Mart√≠n Goit√≠a;MartÌn;GoitÌa;-2;Male;
Pasaje Juan B. Justo;Juan B. Justo;Juan B.;Justo;-2;Male;
Jos√© Alsina;Jos√© Alsina;JosÈ;Alsina;-2;Male;
Pasaje Jos√© Alsina;Jos√© Alsina;JosÈ;Alsina;-2;Male;
Jos√© Noveri;Jos√© Noveri;JosÈ;Noveri;-2;Male;
Olaf With;Olaf With;Olaf;With;-2;Male;
Profesor Alejandro Portela;Profesor Alejandro Portela;Alejandro;Portela;-2;Male;
Claudio Zapico;Claudio Zapico;Claudio;Zapico;-2;Male;
Pasaje Ram√≥n V√°zquez;Ram√≥n V√°zquez;RamÛn;V·zquez;-2;Male;
Santo Tom√°s;Santo Tom√°s;Tom·s;;-2;Male;
San Andr√©s;San Andr√©s;AndrÈs;;-2;Male;
San Felipe;San Felipe;Felipe;;-2;Male;
Santiago Ap√≥stol;Santiago Ap√≥stol;Santiago;;-2;Male;
San Mateo;San Mateo;Mateo;Mateo;-2;Male;
San Pablo;San Pablo;Pablo;Pablo;-2;Male;
San Mat√≠as;San Mat√≠as;MatÌas;;-2;Male;
San Judas Tadeo;San Judas Tadeo;Judas;Tadeo;-2;Male;
San Sim√≥n;San Sim√≥n;SimÛn;;-2;Male;
Cartero Bruno Ram√≠rez;Cartero Bruno Ram√≠rez;Cartero;Bruno;-2;Male;
Franklin;Franklin;Franklin;;-2;Male;
Pasaje Mart√≠n Goit√≠a;Mart√≠n Goit√≠a;MartÌn;GoitÌa;-2;Male;
Pasaje Miguel Z. Delfino;Miguel Z. Delfino;Miguel Z.;Delfino;-2;Male;
Pasaje Leandro N. Alem;Leandro N. Alem;Leandro N.;Alem;-2;Male;
Pasaje Ingeniero Augusto Schur;Ingeniero Augusto Schur;Augusto;Schur;-2;Male;
√Ångela C. de Bouvier;√Ångela  Bouvier;¡ngela;C. de Bouvier;2;Female;https://es.wikipedia.org/wiki/%C3%81ngela_Vergara
Pasaje √Ångela C. de Bouvier;Pasaje √Ångela  Bouvier;¡ngela;C. de Bouvier;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_%C3%81ngeles_Querol
Tr√°nsito Cocomarola;Tr√°nsito Cocomarola;Tr·nsito;Cocomarola;2;Female;https://es.wikipedia.org/wiki/Tr%C3%A1nsito_Amagua%C3%B1a
Ex Combatiente Adolfo Vallejos;Ex Combatiente Adolfo jos;Adolfo;DiscÈpolo;-2;Male;
Doctor Antonio de Grandi;Doctor Antonio de Grandi;Antonio;De Grandi;-2;Male;
Marcelino Castel√°n;Marcelino Castel√°n;Marcelino;Castel·n;-2;Male;
Bibiano Meza;Bibiano Meza;Bibiano;Meza;-2;Male;
Pasaje Jos√© M√°rmol;Jos√© M√°rmol;JosÈ;M·rmol;-2;Male;
Pasaje Carlos Dodero;Carlos Dodero;Carlos;Dodero;-2;Male;
