Gertrudis Este;Gertrudis;Este;2;female;https://es.wikipedia.org/wiki/Gertrudis_G%C3%B3mez_de_Avellaneda
Calle Santa Julia;Santa;Julia;2;female;https://es.wikipedia.org/wiki/Santa%20Julia
Calle Santa Celia;Santa;Celia;2;female;https://es.wikipedia.org/wiki/Mar%C3%ADa%20Celia%20Gu%C3%A9rin
Calle Santa Flora;Santa;Flora;2;female;https://es.wikipedia.org/wiki/Santa%20Flora
Calle Santa Hortensia;Santa;Hortensia;2;female;https://es.wikipedia.org/wiki/Hortensia%20(desambiguaci%C3%B3n)
Calle Lucero;Lucero;;2;female;
Carmela;Carmela;;2;female;
Celia;Celia;;2;female;
Calle Raquel;Raquel;;2;female;
Isabel;Isabel;;2;female;
Sara;Sara;;2;female;
Margot;Margot;;2;female;
Ivon;Ivon;;2;female;
Santa Elena;Santa;Elena;2;female;https://es.wikipedia.org/wiki/Santa%20Elena
Nancy;Nancy;;2;female;
Olga;Olga;;2;female;
Lolita;Lolita;;2;female;
Calle Lourdes;Lourdes;;2;female;
Lugarda;Lugarda;;1;female;https://es.wikipedia.org/wiki/Lutgarda
Rotonda Virgen del Camino;Rotonda;Virgdel;1;female;
María Auxiliadora;María;Auxiliadora;1;female;https://es.wikipedia.org/wiki/Mar%C3%ADa%20Auxiliadora
Calzada de Infanta;Infanta;;1;female;
La Femanda;La;Femanda;"0;88";female;
Mambisa Martinez;Mambisa;Martinez;"0;87";female;
Avenida La Pastora;La;Pastora;"0;86";female;
María Ayala;María;Ayala;"0;71";female;
María Luisa;María;Luisa;"0;71";female;
Loynaz;Loynaz;;"0;69";female;https://es.wikipedia.org/wiki/Dulce%20Mar%C3%ADa%20Loynaz
Avenida Blanquita;Blanquita;;"0;67";female;
Sofía;Sofía;;"0;67";female;
Sta. Ana;Sta.;Ana;"0;42";female;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Carret de Niña Bonita;Carret;de;"0;36";female;
San Mariano;San;Mariano;"-0;25";male;
Boch;Boch;;"-0;26";male;
Calle Torroella;Torroella;;"-0;27";male;
Munguia;Munguia;;"-0;27";male;
Falgueras;Falgueras;;"-0;28";male;
Gelabert;Gelabert;;"-0;28";male;
Avenida Kohly;Kohly;;"-0;29";male;
Carballo;Carballo;;"-0;29";male;
Neptuno;Neptuno;;"-0;3";male;
Albear;Albear;;"-0;31";male;
Cienfuegos;Cienfuegos;;"-0;32";male;
Coyula;Coyula;;"-0;35";male;
Calle Coyula;Coyula;;"-0;35";male;
Calle Atarés;Atarés;;"-0;36";male;
Goicuria;Goicuria;;"-0;37";male;
Calle Cidre;Cidre;;"-0;37";male;
Pezuela;Pezuela;;"-0;39";male;
Oquendo;Oquendo;;"-0;39";male;
Mendoza;Mendoza;;"-0;4";male;
Kessel;Kessel;;"-0;41";male;
Rdguez Morini;Rdguez;Morini;"-0;41";male;
Conde Cañongo;Conde;Cañongo;"-0;41";male;
Pasaje Montero Sánchez;Montero;Sánchez;"-0;43";male;
General E Núñez;General;E;"-0;43";male;
Calle Villanueva;Villanueva;;"-0;43";male;
Galería de Tobías;Galería;de;"-0;44";male;
Anillo del Puerto;Anillo;del;"-0;45";male;
R. de Cardenas;R.;de;"-0;45";male;
Nomar;Nomar;;"-0;45";male;
Lucases;Lucases;;"-0;45";male;
Borrego;Borrego;;"-0;46";male;
Zayas;Zayas;;"-0;46";male;
Matos;Matos;;"-0;47";male;
Villalobos;lobos;;"-0;47";male;
Finlay;Finlay;;"-0;47";male;
Calle Finlay;Finlay;;"-0;47";male;
Piñeras;Piñeras;;"-0;47";male;
Marqués de La Torre;Marqués;de;"-0;48";male;
Avenida del Apóstol;Apóstol;;"-0;48";male;
San Lucas;San;Lucas;"-0;49";male;
Chávez;Chávez;;"-0;49";male;
Bernaza;Bernaza;;"-0;49";male;
Zequeira;Zequeira;;"-0;49";male;
San Ramón;San;Ramón;"-0;5";male;
Calle Valladares;Valladares;;"-0;5";male;
Martí Real;Martí;;"-0;5";male;
Maceo;Maceo;;"-0;5";male;
Calle Arango;Arango;;"-0;5";male;
Martí;Martí;;"-0;5";male;
Céspedes;Céspedes;;"-0;5";male;
Dren;Dren;;"-0;5";male;
Calzada de Guines;Guines;;"-0;5";male;
Cortés;Cortés;;"-0;5";male;
Bécquer;Bécquer;;"-0;5";male;
Brito;Brito;;"-0;5";male;
Barreto;Barreto;;"-0;5";male;
Avenida Maceo;Maceo;;"-0;5";male;
Trujillo;Trujillo;;"-0;5";male;
Calle Rubio;Rubio;;"-0;5";male;
Núñez;Núñez;;"-0;5";male;
Holguín;Holguín;;"-0;5";male;
Ponce;Ponce;;"-0;5";male;
Calzada Zapata;Zapata;;"-0;5";male;
Calzada de Zapata;Zapata;;"-0;5";male;
Panchito Gómez;Panchito;Gómez;"-0;5";male;
Paseo de Martí (Paseo del Prado);Martí;(Paseo;"-0;5";male;
Escobar;Escobar;;"-0;5";male;
Estévez;Estévez;;"-0;5";male;
Villegas;Villegas;;"-0;5";male;
Suárez;Suárez;;"-0;5";male;
San Indalecio;San;Indalecio;"-0;5";male;
Arellano;Arellano;;"-0;5";male;
Calle Maceo;Maceo;;"-0;5";male;
Varela;Varela;;"-0;5";male;
Bruzón;Bruzón;;"-0;51";male;
Pie Marichal;Pie;Marichal;"-0;52";male;
Figuras;Figuras;;"-0;52";male;
Calle Quiroga;Quiroga;;"-0;53";male;
Soto;Soto;;"-0;54";male;
Avenida Soto;Soto;;"-0;54";male;
Ceulino;Ceulino;;"-0;56";male;
