calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Maria Pardo,Maria Pardo,,0.99,Female,
Calle J. M. Gutierrez,J. M. Gutierrez,,-0.41,Male,
Calle Subteniente Mario Calvo,Subteniente Mario Calvo,,-0.5,Male,
Calle Tte. Monasterio,Tte. Monasterio,,-1.0,Male,
Calle Luis Ernest Rivera,Luis Ernest Rivera,,-0.5,Male,
Calle Comandante Teddy Scott V.,Comandante Teddy Scott V.,,-0.97,Male,
Calle Capitán Luis Paravicini,Capitán Luis Paravicini,,-0.5,Male,
Calle Coronel Eliodoro Neri,Coronel Eliodoro Neri,,-0.77,Male,
Calle Capitán Luis Garcia,Capitán Luis Garcia,,-0.5,Male,
Calle Moto Méndez,Moto Méndez,,0.67,Male,
Calle N. Rios,N. Rios,,-0.38,Male,
Calle Manuel P. Laredo,Manuel P. Laredo,,-0.5,Male,
Calle General Díaz,General Díaz,,-0.5,Male,
Calle C. Cardenas,C. Cardenas,,-0.58,Male,
Calle Luisa Ascui,Luisa Ascui,,1.0,Female,
Calle Manuela Saavedra,Manuela Saavedra,,1.0,Female,
Calle Maria Luisa Bustos,Maria Luisa Bustos,,0.99,Female,
Calle Luis Frias,Luis Frias,,-0.5,Male,
Calle José M. Carrasco,José M. Carrasco,,-0.29,Male,
Avenida Mártires de la Democracia,Mártires Democracia,,-0.5,Male,
Calle Federico Jimenez,Federico Jimenez,,-1.0,Male,
Calle Francisco Santivañez,Francisco Santivañez,,-0.5,Male,
Calle Valverde,Valverde,,0.72,Male,
Calle Manuel Virreira,Manuel Virreira,,-0.5,Male,
Calle P. Orosco,P. Orosco,,-0.4,Male,
Calle Lisandro Quiroga,Lisandro Quiroga,,-0.5,Male,
Calle Nataniel Arauco,Nataniel Arauco,,-0.5,Male,
Calle Santa Cristina,Santa Cristina,,1.0,Female,
Calle Santa Vera Cruz,Santa Vera Cruz,,0.88,Male,
Avenida María Auxiliadora,María Auxiliadora,,1.0,Female,
Calle Nataniel Aguirre,Nataniel Aguirre,,-0.5,Male,
Calle Esteban Arce,Esteban Arce,,-0.5,Male,
Pasaje José Alonso de Ibáñez,José Alonso Ibáñez,,-0.31,Male,
Calle San Martín,San Martín,,-0.5,Male,
Calle Ismael Montes,Ismael Montes,,-1.0,Male,
Calle Agustín López,Agustín López,,-1.0,Male,
Calle Juan Francisco Velarde,Juan Francisco Velarde,,-0.99,Male,
Calle Tupac Katari,Tupac Katari,,-0.6,Male,
Calle Francisco Miranda,Francisco Miranda,,-0.48,Male,
Calle Víctor Paz Estenssoro,Víctor Paz Estenssoro,,-0.95,Male,
Calle Eduardo Rivas U.,Eduardo Rivas U.,,-1.0,Male,
Calle Marcela Sisa,Marcela Sisa,,1.0,Female,
Avenida Rene Barrientos Ortuño,Rene Barrientos Ortuño,,-0.46,Male,
Calle Magdalena,Magdalena,,1.0,Female,
Calle María Barzola,María Barzola,,1.0,Female,
Calle Nicolas Katari,Nicolas Katari,,-1.0,Male,
Calle Victor Loza,Victor Loza,,-0.99,Male,
Calle Plaza José Cuadros,Plaza José Cuadros,,-0.3,Male,
Calle Benjamín Blanco,Benjamín Blanco,,-1.0,Male,
Calle Mariano Ricardo Terrazas,Mariano Ricardo Terrazas,,-0.5,Male,
Calle José Armando Mendez,José Armando Mendez,,-0.35,Male,
Calle Manuel Canedo,Manuel Canedo,,-0.5,Male,
Calle República Dominicana,República Dominicana,,1.0,Male,
Calle Mistral,Mistral,,-0.5,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Calle República de Cuba,República Cuba,,0.71,Male,
Calle José Antonio Arze,José Antonio Arze,,-0.46,Male,
Calle Agustín Aspiazu,Agustín Aspiazu,,-1.0,Male,
Calle Linares,Linares,,-0.5,Male,
Calle Parque del Maestro,Parque Maestro,,-0.5,Male,
Calle Juan José Carrasco,Juan José Carrasco,,-0.99,Male,
Calle Gustavo Otero,Gustavo Otero,,-0.5,Male,
Calle Dario Montaño,Dario Montaño,,-0.5,Male,
