calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Carrer d'Emília Xargay i Pagès;Emília Xargay i Pagès;Emília;Xargay;2;Female;https://ca.wikipedia.org/wiki/Em%C3%ADlia_Xargay_i_Pag%C3%A8s;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mercè Rodoreda;Mercè Rodoreda;Mercè;Rodoreda;2;Female;https://es.wikipedia.org/wiki/Merc%C3%A8_Rodoreda;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lola Anglada i Sarriera;Lola Anglada i Sarriera;Lola;Anglada;2;Female;https://es.wikipedia.org/wiki/Lola_Anglada;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Frederica Montseny i Mañé;Frederica Montseny i Mañé;Frederica;Montseny;2;Female;https://es.wikiquote.org/wiki/Federica_Montseny;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Maria Aurèlia Capmany i Farnés;Maria Aurèlia Capmany i Farnés;Maria;Aurèlia;2;Female;https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Maria Assumpció Soler i Font;Maria Assumpció Soler i Font;Maria;Assumpció;2;Female;https://ca.wikipedia.org/wiki/Maria_Assumpci%C3%B3_Soler_i_Font;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Viñas i Bona;Joan Viñas i Bona;Joan;Viñas;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rotonda d'Emili Grahit;Emili Grahit;Emili;Grahit;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ginesta Gubert;Ginesta Gubert;Ginesta;Gubert;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Margarida;Santa Margarida;Santa;Margarida;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Doctor Joan Vilaplana;Doctor Joan Vilaplana;Doctor;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
"Carrer Carme Rius ""doña Carme""";"Carme Rius ""doña Carme""";Carme;Rius;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Carme Rius;Carme Rius;Carme;Rius;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carme Rius;Carme Rius;Carme;Rius;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Margarit i de Requesens;Joan Margarit i Requesens;Joan;Margarit;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge Pau Casals;Pau Casals;Pau;Casals;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Dolors Pastells Auber;Dolors Pastells Auber;Dolors;Pastells;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Dalai Lama;Dalai Lama;Dalai;Lama;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Joan;Sant Joan;Sant;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Juli Garreta;Juli Garreta;Juli;Garreta;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Miró;Joan Miró;Joan;Miró;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge d'Elisenda Montcada;Elisenda Montcada;Elisenda;Montcada;2;Female;https://es.wikipedia.org/wiki/Elisenda_de_Moncada;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge d'Elisenda de Montcada;Elisenda Montcada;Elisenda;Montcada;2;Female;https://es.wikipedia.org/wiki/Elisenda_de_Moncada;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Roca Delpech;Roca Delpech;Roca;Delpech;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Salvat-Papasseit;Joan Salvat-Papasseit;Joan;Salvat-Papasseit;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
"Carrer de Joan Oliver i Sallarès, ""Pere Quart""";"Joan Oliver i Sallarès, ""Pere Quart""";Joan;Oliver;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Miró i Ferrà;Joan Miró i Ferrà;Joan;Miró;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Maria Àngels Anglada i d'Abadal;Maria Àngels Anglada i Abadal;Maria;Àngels;2;Female;https://es.wikipedia.org/wiki/Maria_%C3%80ngels_Anglada;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Montserrat Roig;Montserrat Roig;Montserrat;Roig;2;Female;https://es.wikipedia.org/wiki/Montserrat_Roig;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Badia i Casañas;Joan Badia i Casañas;Joan;Badia;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Damià Escuder i Lladó;Damià Escuder i Lladó;Damià;Escuder;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan de la Cierva;Joan Cierva;Joan;Cierva;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Pau Casals;Pau Casals;Pau;Casals;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig Teresa Pons i Tomàs;Teresa Pons i Tomàs;Teresa;Pons;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Emili Pivernat;Emili Pivernat;Emili;Pivernat;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Travessia de Santa Eugènia;Travessia a Eugènia;Travessia;a;2;Female;https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir);VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manel Viñas i Graugés;Manel Viñas i Graugés;Manel;Viñas;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Eugènia;Santa Eugènia;Santa;Eugènia;2;Female;https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir);VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de Santa Eugènia;Santa Eugènia;Santa;Eugènia;2;Female;https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir);VERDADERO;;;;;;;;;;;;;;;;;;
