calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Carrer Cristòfol Grober;Cristòfol Grober;Cristòfol;Grober;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Sebastià;Sant Sebastià;Sant;Sebastià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Isaac Rabin;Isaac Rabin;Isaac;Rabin;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Rafel Masó;Rafel Masó;Rafel;Masó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Sant Narcís;Sant Narcís;Sant;Narcís;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Pla;Josep Pla;Josep;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Salvador Dalí;Salvador Dalí;Salvador;Dalí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lluís Companys;Lluís Companys;Lluís;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Comte Arnau;Comte Arnau;Comte;Arnau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Beat Dalmau Cendra;Beat Dalmau Cendra;Beat;Dalmau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Doctor Sobrequés;Doctor Sobrequés;Doctor;Sobrequés;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Beat Buch;Beat Buch;Beat;Buch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Antoni;Sant Antoni;Sant;Antoni;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Grau;Sant Grau;Sant;Grau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Compte Berenguer;Compte Berenguer;Compte;Berenguer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Doctor Angel Latorre;Doctor Angel Latorre;Doctor;Angel;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Cardenal Vidal i Barraquer;Cardenal Vidal i Barraquer;Cardenal;Vidal;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Salvador Espriu;Salvador Espriu;Salvador;Espriu;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Jordi;Sant Jordi;Sant;Jordi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig del President Josep Irla;President Josep Irla;President;Josep;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Sebastià;Sant Sebastià;Sant;Sebastià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mossèn Cinto Verdaguer;Mossèn Cinto Verdaguer;Mossèn;Cinto;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Bernat Boades;Bernat Boades;Bernat;Boades;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Arnald de Pedraforca;Arnald Pedraforca;Arnald;Pedraforca;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Narcís Monturiol;Narcís Monturiol;Narcís;Monturiol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Narcís Monturiol;Narcís Monturiol;Narcís;Monturiol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Guillem Granollers;Guillem Granollers;Guillem;Granollers;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Trueta;Josep Trueta;Josep;Trueta;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Nelson Mandela;Nelson Mandela;Nelson;Mandela;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Miquel Martí i Pol;Miquel Martí i Pol;Miquel;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Santiago Rusiñol;Santiago Rusiñol;Santiago;Rusiñol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Josep;Sant Josep;Sant;Josep;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Barnés i Gultresa;Antoni Barnés i Gultresa;Antoni;Barnés;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda Lluis Companys;Lluis Companys;Lluis;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Roger de Llúria;Roger Llúria;Roger;Llúria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Roc;Sant Roc;Sant;Roc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Pol i Perera;Jaume Pol i Perera;Jaume;Pol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Rafael Masó;Rafael Masó;Rafael;Masó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de George Stephenson;George Stephenson;George;Stephenson;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manuel Cazurro i Ruiz;Manuel Cazurro i Ruiz;Manuel;Cazurro;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Ovidi Montllor;Ovidi Montllor;Ovidi;Montllor;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ricard Viladesau i Caner;Ricard Viladesau i Caner;Ricard;Viladesau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Jaume I;Jaume I;Jaume;I;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Jacint Verdaguer;Jacint Verdaguer;Jacint;Verdaguer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Rafael Casanova;Rafael Casanova;Rafael;Casanova;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pere Martí;Pere Martí;Pere;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pompeu Fabra;Pompeu Fabra;Pompeu;Fabra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Tarradelles;Josep Tarradelles;Josep;Tarradelles;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Francesc Macià;Francesc Macià;Francesc;Macià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Irla;Josep Irla;Josep;Irla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Antoni Rovira i Virgili;Antoni Rovira i Virgili;Antoni;Rovira;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Puig i Cadafalch;Josep Puig i Cadafalch;Josep;Puig;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Amadeu Vives;Amadeu Vives;Amadeu;Vives;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Eugeni d'Ors;Eugeni Ors;Eugeni;Ors;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Enric Prat de la Riba;Enric Prat Riba;Enric;Prat;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Francesc Maciá;Francesc Maciá;Francesc;Maciá;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Ramon Muntaner;Ramon Muntaner;Ramon;Muntaner;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge Ramon Muntaner;Ramon Muntaner;Ramon;Muntaner;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Aureli Capmany;Aureli Capmany;Aureli;Capmany;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Prudenci Bertrana;Prudenci Bertrana;Prudenci;Bertrana;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Lluís Companys;Lluís Companys;Lluís;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Antoni Gaudí;Antoni Gaudí;Antoni;Gaudí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Isaac Albéniz;Isaac Albéniz;Isaac;Albéniz;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pep Ventura;Pep Ventura;Pep;Ventura;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig Pep Ventura;Pep Ventura;Pep;Ventura;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Mossèn Cinto Verdaguer;Mossèn Cinto Verdaguer;Mossèn;Cinto;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pompeu Fabra;Pompeu Fabra;Pompeu;Fabra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Vicens Vives;Vicens Vives;Vicens;Vives;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Narcís Monturiol;Narcís Monturiol;Narcís;Monturiol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Isac Albéniz;Isac Albéniz;Isac;Albéniz;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Miquel Martí i Pol;Miquel Martí i Pol;Miquel;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santiago Rusiñol;Santiago Rusiñol;Santiago;Rusiñol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Àngel Guimerà;Àngel Guimerà;Àngel;Guimerà;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ramon Vayreda;Ramon Vayreda;Ramon;Vayreda;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Fra Ignasi Barnoya i Oms;Fra Ignasi Barnoya i Oms;Fra;Ignasi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rotonda de Lluís Pericot;Lluís Pericot;Lluís;Pericot;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Corredor i Pomés;Josep Maria Corredor i Pomés;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Aniol;Sant Aniol;Sant;Aniol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Valentí Fargnoli;Valentí Fargnoli;Valentí;Fargnoli;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Valentí Fargnoli;Valentí Fargnoli;Valentí;Fargnoli;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Riera i Bertran;Joaquim Riera i Bertran;Joaquim;Riera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Lluís Pericot;Lluís Pericot;Lluís;Pericot;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Pagès i Vicens;Josep Maria Pagès i Vicens;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lluís Borrassà;Lluís Borrassà;Lluís;Borrassà;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Canet;Antoni Canet;Antoni;Canet;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Parc de Francesc Sabaté i Llopart;Francesc Sabaté i Llopart;Francesc;Sabaté;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Canal i Roquet;Josep Canal i Roquet;Josep;Canal;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Gabriel Roura i Güibas;Gabriel Roura i Güibas;Gabriel;Roura;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Aguilera i Martí;Josep Aguilera i Martí;Josep;Aguilera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere Matas;Pere Matas;Pere;Matas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mossèn Ferran Forns i Navarro;Mossèn Ferran Forns i Navarro;Mossèn;Ferran;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Maria Masramon i de Ventós;Joaquim Maria Masramon i de Ventós;Joaquim;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de Josep Carner i Puig-Oriol;Josep Carner i Puig-Oriol;Josep;Carner;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ricard Guinó i Boix;Ricard Guinó i Boix;Ricard;Guinó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Travessia de Josep Maria Corredor i Pomés;Josep Maria Corredor i Pomés;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lluís Antoni Santaló i Sors;Lluís Antoni Santaló i Sors;Lluís;Antoni;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Romaguera;Francesc Romaguera;Francesc;Romaguera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Roc;Sant Roc;Sant;Roc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Salvador Ferrer C. Maura;Salvador Ferrer C. Maura;Salvador;Ferrer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Pons i Guri;Josep Maria Pons i Guri;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santiago Coquard i Sala;Santiago Coquard i Sala;Santiago;Coquard;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de l'Església de Sant Miquel;Església Sant Miquel;Església;Sant;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Rafael Masó;Rafael Masó;Rafael;Masó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Ruyra;Joaquim Ruyra;Joaquim;Ruyra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge Lluís Companys;Lluís Companys;Lluís;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Antoni Gaudí;Antoni Gaudí;Antoni;Gaudí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Travessia Lluís Companys;Lluís Companys;Lluís;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Maria Vila;Josep Maria Vila;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Lluís Companys;Lluís Companys;Lluís;Companys;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Gaudí;Antoni Gaudí;Antoni;Gaudí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Francesc Macià;Francesc Macià;Francesc;Macià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Guillem Galzeran de Cartellà;Guillem Galzeran de Cartellà;Guillem;Galzeran;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pere II el Gran;Pere II el Gran;Pere;II;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Verntallat;Francesc Verntallat;Francesc;Verntallat;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Miquel Martí i Pol;Miquel Martí i Pol;Miquel;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere Joan Sala;Pere Joan Sala;Pere;Joan;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Pere;Sant Pere;Sant;Pere;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Camí de Sant Medir;Sant Medir;Sant;Medir;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Paulí Torras;Paulí Torras;Paulí;Torras;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Isac Rabin;Isac Rabin;Isac;Rabin;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Martin Luther King;Martin Luther King;Martin;Luther;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Lluís Moreno;Lluís Moreno;Lluís;Moreno;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pere Bosch i Gimpera;Pere Bosch i Gimpera;Pere;Bosch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Aguilera;Josep Aguilera;Josep;Aguilera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Jaume;Sant Jaume;Sant;Jaume;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joaquim Revetllat;Joaquim Revetllat;Joaquim;Revetllat;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Esteve Vila;Esteve Vila;Esteve;Vila;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Ramis;Josep Ramis;Josep;Ramis;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
passatge Roger de Llúria;Roger Llúria;Roger;Llúria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Dionís;Sant Dionís;Sant;Dionís;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Doctor Ferran;Doctor Ferran;Doctor;Ferran;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Ausias March;Ausias March;Ausias;March;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Jacinto Benavente;Jacinto Benavente;Jacinto;Benavente;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Doctor Ferran;Doctor Ferran;Doctor;Ferran;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Maria Folch i Torres;Josep Maria Folch i Torres;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Folch i Torres;Josep Maria Folch i Torres;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Xavier Montsalvatge;Xavier Montsalvatge;Xavier;Montsalvatge;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Pla;Josep Pla;Josep;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig Josep Tarradelles;Josep Tarradelles;Josep;Tarradelles;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Gregori;Sant Gregori;Sant;Gregori;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lluís Maria Xirinacs i Damians;Lluís Maria Xirinacs i Damians;Lluís;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de Feliu Matamala i Teixidor;Feliu Matamala i Teixidor;Feliu;Matamala;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere Rodeja i Ponsatí;Pere Rodeja i Ponsatí;Pere;Rodeja;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Prat i Roca;Josep Maria Prat i Roca;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Mossèn Josep Iglésias;Mossèn Josep Iglésias;Mossèn;Josep;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Baró i Güell;Josep Baró i Güell;Josep;Baró;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Vicenç Foix i Mas;Josep Vicenç Foix i Mas;Josep;Vicenç;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Alfred Nobel;Alfred Nobel;Alfred;Nobel;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Miguel Hernández;Miguel Hernández;Miguel;Hernández;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Federico García Lorca;Federico García Lorca;Federico;García;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carles Riba i Bracons;Carles Riba i Bracons;Carles;Riba;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Medir;Sant Medir;Sant;Medir;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Rafael Alberti;Rafael Alberti;Rafael;Alberti;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Valentí Almirall i Llozer;Valentí Almirall i Llozer;Valentí;Almirall;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rotonda de Josep Tarradellas i Joan;Josep Tarradellas i Joan;Josep;Tarradellas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Roberto Bolaño Ávalos;Roberto Bolaño Ávalos;Roberto;Bolaño;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Josep Tarradellas i Joan;Josep Tarradellas i Joan;Josep;Tarradellas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Dionís;Sant Dionís;Sant;Dionís;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pius XII;Pius XII;Pius;XII;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manuel de Falla;Manuel de Falla;Manuel;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Agustí Cabruja;Agustí Cabruja;Agustí;Cabruja;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
carrer Enric Granados;Enric Granados;Enric;Granados;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Travessera de Sant Antoni;Sant Antoni;Sant;Antoni;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
carrer Jaume Vicenç Vives;Jaume Vicenç Vives;Jaume;Vicenç;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Grau;Sant Grau;Sant;Grau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Antoni;Sant Antoni;Sant;Antoni;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
carrer Lluís Millet;Lluís Millet;Lluís;Millet;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria de Sagarra;Josep Maria de Sagarra;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Félix Lope de Vega;Félix Lope de Vega;Félix;Lope;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del President Francesc Macià;President Francesc Macià;President;Francesc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Manuel de Falla;Manuel Falla;Manuel;Falla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Grup Sant Jaume;Grup  Jaume;Grup;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer President Macià;President Macià;President;Macià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pere Gallostra;Pere Gallostra;Pere;Gallostra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Santiago Ramon i Cajal;Santiago Ramon i Cajal;Santiago;Ramon;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Irla;Josep Irla;Josep;Irla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Ramon y Cajal;Ramon y Cajal;Ramon;y;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Miguel de Cervantes;Miguel Cervantes;Miguel;Cervantes;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mossèn Sebastià Puig;Mossèn Sebastià Puig;Mossèn;Sebastià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Anselm Clavé;Anselm Clavé;Anselm;Clavé;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Alfons Moré;Alfons Moré;Alfons;Moré;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Estival i Cisa;Francesc Estival i Cisa;Francesc;Estival;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Faixó i Fusellas;Jaume Faixó i Fusellas;Jaume;Faixó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carles Vivó i Siqués;Carles Vivó i Siqués;Carles;Vivó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Viader i Moliner;Josep Viader i Moliner;Josep;Viader;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Bernat Boades;Bernat Boades;Bernat;Boades;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Rovira i Virgili;Antoni Rovira i Virgili;Antoni;Rovira;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Josep Tarradellas;Josep Tarradellas;Josep;Tarradellas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Guillem Bofill;Guillem Bofill;Guillem;Bofill;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ramon Muntaner;Ramon Muntaner;Ramon;Muntaner;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Cristòfor Colom;Cristòfor Colom;Cristòfor;Colom;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere Compte;Pere Compte;Pere;Compte;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Tomàs Carreras i Artau;Tomàs Carreras i Artau;Tomàs;Carreras;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Enric Marquès i Ribalta;Enric Marquès i Ribalta;Enric;Marquès;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Francesc Pi i Margall;Francesc Pi i Margall;Francesc;Pi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Narcís Xifra i Masmitjà;Narcís Xifra i Masmitjà;Narcís;Xifra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santiago Sobrequés i Vidal;Santiago Sobrequés i Vidal;Santiago;Sobrequés;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Miquel Santaló;Miquel Santaló;Miquel;Santaló;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mestre Dalmau i Carles;Mestre Dalmau i Carles;Mestre;Dalmau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
"Passeig de Ramon Berenguer II, ""Cap d'Estopes""";"Ramon Berenguer II, ""Cap Estopes""";Ramon;Berenguer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Salvador Dabau i Caussà;Salvador Dabau i Caussà;Salvador;Dabau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Isidre Molar;Isidre Molar;Isidre;Molar;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Narcís Roca i Farreras;Narcís Roca i Farreras;Narcís;Roca;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rambla de Xavier Cugat;Xavier Cugat;Xavier;Cugat;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Guillem Colteller;Guillem Colteller;Guillem;Colteller;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Gaudí i Cornet;Antoni Gaudí i Cornet;Antoni;Gaudí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
